Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
DeMarco Murray,DAL,392,24.5,1845,4.7,115.3,13
Arian Foster,HOU,260,20.0,1246,4.8,95.8,8
Le'Veon Bell,PIT,290,18.1,1361,4.7,85.1,8
LeSean McCoy,PHI,312,19.5,1319,4.2,82.4,5
Marshawn Lynch,SEA,280,17.5,1306,4.7,81.6,13
Justin Forsett,BAL,235,14.7,1266,5.4,79.1,8
Adrian Peterson,MIN,21,21.0,75,3.6,75.0,0
Mark Ingram,NO,226,17.4,964,4.3,74.2,9
Eddie Lacy,GB,246,15.4,1139,4.6,71.2,9
Jeremy Hill,CIN,222,13.9,1124,5.1,70.2,9
Frank Gore,SF,255,15.9,1106,4.3,69.1,4
Jamaal Charles,KC,206,13.7,1033,5.0,68.9,9
Lamar Miller,MIA,216,13.5,1099,5.1,68.7,8
Alfred Morris,WAS,265,16.6,1074,4.1,67.1,8
Matt Forte,CHI,266,16.6,1038,3.9,64.9,6
Tre Mason,STL,179,14.9,765,4.3,63.8,4
Jonathan Stewart,CAR,175,13.5,809,4.6,62.2,3
Rashad Jennings,NYG,167,15.2,639,3.8,58.1,4
Joique Bell,DET,223,14.9,860,3.9,57.3,7
Stevan Ridley,NE,94,15.7,340,3.6,56.7,2
C.J. Anderson,DEN,179,11.9,849,4.7,56.6,8
LeGarrette Blount,NE,60,12.0,281,4.7,56.2,3
Andre Ellington,ARI,201,16.8,660,3.3,55.0,3
Ryan Mathews,SD,74,12.3,330,4.5,55.0,3
Ronnie Hillman,DEN,106,13.2,434,4.1,54.2,3
Giovani Bernard,CIN,168,12.9,680,4.0,52.3,5
Jonas Gray,NE,89,11.1,412,4.6,51.5,5
Chris Ivory,NYJ,198,12.4,821,4.1,51.3,6
Knowshon Moreno,MIA,31,10.3,148,4.8,49.3,1
Kerwynn Williams,ARI,53,10.6,246,4.6,49.2,0
Jerick McKinnon,MIN,113,10.3,538,4.8,48.9,0
Terrance West,CLE,171,12.2,673,3.9,48.1,4
Steven Jackson,ATL,190,12.7,707,3.7,47.1,6
Andre Williams,NYG,217,13.6,721,3.3,45.1,7
Doug Martin,TB,134,12.2,494,3.7,44.9,2
Denard Robinson,JAC,135,10.4,582,4.3,44.8,4
Ahmad Bradshaw,IND,90,9.0,425,4.7,42.5,2
Branden Oliver,SD,160,11.4,582,3.6,41.6,3
Chris Johnson,NYJ,155,9.7,663,4.3,41.4,1
Matt Asiata,MIN,164,10.9,570,3.5,38.0,9
Isaiah Crowell,CLE,148,9.2,607,4.1,37.9,8
Fred Jackson,BUF,141,10.1,525,3.7,37.5,2
DeAngelo Williams,CAR,62,10.3,219,3.5,36.5,0
Khiry Robinson,NO,76,7.6,362,4.8,36.2,3
Bishop Sankey,TEN,152,9.5,569,3.7,35.6,2
Trent Richardson,IND,159,10.6,519,3.3,34.6,3
Montee Ball,DEN,55,11.0,172,3.1,34.4,1
Darren McFadden,OAK,155,9.7,534,3.4,33.4,2
C.J. Spiller,BUF,78,8.7,300,3.8,33.3,0
Alfred Blue,HOU,169,10.6,528,3.1,33.0,2
Shonn Greene,TEN,94,7.2,392,4.2,30.2,2
Knile Davis,KC,134,8.4,463,3.5,28.9,6
Latavius Murray,OAK,82,5.5,424,5.2,28.3,2
Bernard Pierce,BAL,93,7.2,366,3.9,28.2,2
Bobby Rainey,TB,94,6.3,406,4.3,27.1,1
Reggie Bush,DET,76,6.9,297,3.9,27.0,2
Anthony Dixon,BUF,105,6.6,432,4.1,27.0,2
Jonathan Dwyer,ARI,16,8.0,51,3.2,25.5,1
Shane Vereen,NE,96,6.0,391,4.1,24.4,2
Carlos Hyde,SF,83,5.9,333,4.0,23.8,4
Toby Gerhart,JAC,101,7.2,326,3.2,23.3,2
Charles Sims,TB,66,8.2,185,2.8,23.1,1
Zac Stacy,STL,76,5.8,293,3.9,22.5,1
