Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Priest Holmes,KC,196,24.5,892,4.6,111.5,14
Corey Dillon,NE,345,23.0,1635,4.7,109.0,12
Curtis Martin,NYJ,371,23.2,1697,4.6,106.1,12
Shaun Alexander,SEA,353,22.1,1696,4.8,106.0,16
Julius Jones,DAL,197,24.6,819,4.2,102.4,7
Chris Brown,TEN,220,20.0,1067,4.9,97.0,6
Edgerrin James,IND,334,20.9,1548,4.6,96.8,9
Tiki Barber,NYG,322,20.1,1518,4.7,94.9,13
Rudi Johnson,CIN,361,22.6,1454,4.0,90.9,12
LaDainian Tomlinson,SD,339,22.6,1335,3.9,89.0,17
Clinton Portis,WAS,343,22.9,1315,3.8,87.7,5
Fred Taylor,JAC,260,18.6,1224,4.7,87.4,2
Jamal Lewis,BAL,235,19.6,1006,4.3,83.8,7
Duce Staley,PIT,192,19.2,830,4.3,83.0,1
Domanick Williams,HOU,302,20.1,1188,3.9,79.2,13
Ahman Green,GB,259,17.3,1163,4.5,77.5,7
Reuben Droughns,DEN,275,17.2,1240,4.5,77.5,6
Deuce McAllister,NO,269,19.2,1074,4.0,76.7,9
Kevin Jones,DET,241,16.1,1133,4.7,75.5,5
Lee Suggs,CLE,199,19.9,744,3.7,74.4,2
Michael Pittman,TB,219,16.8,926,4.2,71.2,7
Willis McGahee,BUF,284,17.8,1128,4.0,70.5,13
Warrick Dunn,ATL,265,16.6,1106,4.2,69.1,9
Thomas Jones,CHI,240,17.1,948,4.0,67.7,7
DeShaun Foster,CAR,59,14.8,255,4.3,63.8,2
Jerome Bettis,PIT,250,16.7,941,3.8,62.7,13
Emmitt Smith,ARI,267,17.8,937,3.5,62.5,9
Brian Westbrook,PHI,177,13.6,812,4.6,62.5,3
Larry Johnson,KC,120,12.0,581,4.8,58.1,9
Marshall Faulk,STL,195,13.9,774,4.0,55.3,3
Kevan Barlow,SF,244,16.3,822,3.4,54.8,7
Eric McCoo,PHI,9,9.0,54,6.0,54.0,0
Quentin Griffin,DEN,85,14.2,311,3.7,51.8,2
Nick Goings,CAR,217,13.6,821,3.8,51.3,6
Onterrio Smith,MIN,124,11.3,544,4.4,49.5,2
Steven Jackson,STL,134,9.6,673,5.0,48.1,4
Stephen Davis,CAR,24,12.0,92,3.8,46.0,0
Derrick Blaylock,KC,118,9.8,539,4.6,44.9,8
Chester Taylor,BAL,160,10.0,714,4.5,44.6,2
Walter Williams,GB,6,6.0,42,7.0,42.0,0
Shaud Williams,BUF,42,10.5,167,4.0,41.8,2
Tyrone Wheatley,OAK,85,10.6,327,3.8,40.9,4
Sammy Morris,MIA,132,10.2,523,4.0,40.2,6
Maurice Hicks,SF,96,10.7,362,3.8,40.2,2
T.J. Duckett,ATL,104,8.0,509,4.9,39.2,8
Antowain Smith,TEN,137,10.5,509,3.7,39.2,4
William Green,CLE,163,10.9,585,3.6,39.0,2
Mewelde Moore,MIN,65,6.5,379,5.8,37.9,0
Charlie Garner,TB,30,10.0,111,3.7,37.0,0
Travis Minor,MIA,109,9.9,388,3.6,35.3,3
Anthony Thomas,CHI,122,10.2,404,3.3,33.7,2
Eddie George,DAL,132,10.2,432,3.3,33.2,4
Najeh Davenport,GB,71,6.5,359,5.1,32.6,2
Travis Henry,BUF,94,9.4,326,3.5,32.6,0
LaMont Jordan,NYJ,93,5.8,479,5.2,29.9,2
Amos Zereoue,OAK,112,7.5,425,3.8,28.3,3
Troy Hambrick,ARI,63,6.3,283,4.5,28.3,1
Tatum Bell,DEN,75,5.4,396,5.3,28.3,3
Dorsey Levens,PHI,94,6.3,410,4.4,27.3,4
Jesse Chatman,SD,65,4.3,392,6.0,26.1,3
Andrew Pinnock,SD,9,9.0,26,2.9,26.0,0
Michael Bennett,MIN,70,6.4,276,3.9,25.1,1
Willie Parker,PIT,32,4.0,186,5.8,23.2,0
Ladell Betts,WAS,90,5.6,371,4.1,23.2,1
Kevin Faulk,NE,54,4.9,255,4.7,23.2,2
Lamar Gordon,MIA,35,11.7,64,1.8,21.3,0
Verron Haynes,PIT,55,4.2,272,4.9,20.9,0
Richie Anderson,DAL,57,4.8,246,4.3,20.5,1
Leonard Henry,MIA,46,6.6,141,3.1,20.1,0
Artose Pinner,DET,57,6.3,174,3.1,19.3,2
Jonathan Wells,HOU,82,5.1,299,3.6,18.7,3
Brad Hoover,CAR,68,4.9,246,3.6,17.6,0
Cedric Cobbs,NE,22,7.3,50,2.3,16.7,0
Shawn Bryson,DET,50,3.1,264,5.3,16.5,0
Mike Alstott,TB,67,4.8,230,3.4,16.4,2
Dominic Rhodes,IND,53,3.3,254,4.8,15.9,1
Aaron Stecker,NO,58,3.6,244,4.2,15.2,2
Zack Crockett,OAK,48,3.0,232,4.8,14.5,2
Tony Fisher,GB,65,4.1,224,3.4,14.0,0
Joey Harris,CAR,15,3.8,53,3.5,13.2,0
Ron Dayne,NYG,52,3.7,179,3.4,12.8,1
Larry Croom,ARI,29,4.8,76,2.6,12.7,0
LaBrandon Toefield,JAC,51,3.6,169,3.3,12.1,0
Garrison Hearst,DEN,20,2.9,81,4.1,11.6,1
Moe Williams,MIN,30,2.1,161,5.4,11.5,3
Justin Fargas,OAK,35,2.9,126,3.6,10.5,1
Jamel White,BAL,14,2.3,62,4.4,10.3,0
Greg Jones,JAC,62,3.9,162,2.6,10.1,3
Patrick Pass,NE,39,2.8,141,3.6,10.1,0
Kenny Watson,CIN,26,1.6,161,6.2,10.1,0
Chris Fuamatu-Ma'afala,JAC,20,2.9,69,3.5,9.9,1
ReShard Lee,DAL,27,1.9,128,4.7,9.1,1
Mike Cloud,NYG,21,2.1,90,4.3,9.0,3
Brock Forsey,MIA,19,3.2,53,2.8,8.8,0
Ki-Jana Carter,NO,10,5.0,17,1.7,8.5,0
Maurice Morris,SEA,30,2.0,126,4.2,8.4,0
Reno Mahe,PHI,23,2.1,91,4.0,8.3,0
Mack Strong,SEA,36,2.2,131,3.6,8.2,0
Earnest Graham,TB,13,1.4,73,5.6,8.1,0
Obafemi Ayanbadejo,ARI,30,1.9,122,4.1,7.6,3
J.R. Redmond,OAK,21,1.3,119,5.7,7.4,0
Michael Turner,SD,20,1.4,104,5.2,7.4,0
Josh Scobey,ARI,27,2.2,89,3.3,7.4,0
Tony Hollings,HOU,11,1.6,47,4.3,6.7,0
Ian Smart,TB,2,0.5,26,13.0,6.5,0
Cecil Sapp,DEN,4,0.8,32,8.0,6.4,0
Terry Jackson,SF,26,1.6,101,3.9,6.3,0
Adimchinobe Echemandu,CLE,8,2.0,25,3.1,6.2,0
George Layne,ATL,1,0.5,12,12.0,6.0,0
Thomas Tapeh,PHI,12,1.7,42,3.5,6.0,0
Musa Smith,BAL,12,1.3,48,4.0,5.3,0
Jason Wright,ATL,3,1.5,10,3.3,5.0,0
Fred McAfee,NO,2,0.2,54,27.0,4.9,0
Joe Burns,BUF,20,1.2,73,3.7,4.6,0
Arlen Harris,STL,20,1.4,63,3.2,4.5,0
Vick King,MIA,4,2.0,9,2.3,4.5,0
