Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Adrian Peterson,MIN,348,21.8,2097,6.0,131.1,12
Alfred Morris,WAS,335,20.9,1613,4.8,100.8,13
Marshawn Lynch,SEA,315,19.7,1590,5.0,99.4,11
Jamaal Charles,KC,285,17.8,1509,5.3,94.3,5
Doug Martin,TB,319,19.9,1454,4.6,90.9,11
Arian Foster,HOU,351,21.9,1424,4.1,89.0,15
Stevan Ridley,NE,290,18.1,1263,4.4,78.9,12
C.J. Spiller,BUF,207,12.9,1244,6.0,77.8,6
Chris Johnson,TEN,276,17.2,1243,4.5,77.7,6
Frank Gore,SF,258,16.1,1214,4.7,75.9,8
Willis McGahee,DEN,167,16.7,731,4.4,73.1,4
Matt Forte,CHI,248,16.5,1094,4.4,72.9,5
BenJarvus Green-Ellis,CIN,278,18.5,1094,3.9,72.9,6
Ahmad Bradshaw,NYG,221,15.8,1015,4.6,72.5,6
Ray Rice,BAL,257,16.1,1143,4.4,71.4,9
LeSean McCoy,PHI,200,16.7,840,4.2,70.0,2
Maurice Jones-Drew,JAC,86,14.3,414,4.8,69.0,1
Shonn Greene,NYJ,276,17.2,1063,3.9,66.4,8
DeMarco Murray,DAL,161,16.1,663,4.1,66.3,4
Knowshon Moreno,DEN,138,17.2,525,3.8,65.6,4
Steven Jackson,STL,258,16.1,1045,4.1,65.3,4
Trent Richardson,CLE,267,17.8,950,3.6,63.3,11
Reggie Bush,MIA,227,14.2,986,4.3,61.6,6
Ryan Mathews,SD,184,15.3,707,3.8,58.9,1
Darren McFadden,OAK,216,18.0,707,3.3,58.9,2
Mikel Leshoure,DET,215,15.4,798,3.7,57.0,9
Vick Ballard,IND,211,13.2,814,3.9,50.9,2
Michael Turner,ATL,222,13.9,800,3.6,50.0,10
Cedric Benson,GB,71,14.2,248,3.5,49.6,1
Jonathan Dwyer,PIT,156,12.0,623,4.0,47.9,2
DeAngelo Williams,CAR,173,10.8,737,4.3,46.1,5
Fred Jackson,BUF,115,11.5,437,3.8,43.7,3
James Starks,GB,71,11.8,255,3.6,42.5,1
Donald Brown,IND,108,10.8,417,3.9,41.7,1
DuJuan Harris,GB,34,8.5,157,4.6,39.2,2
Alex Green,GB,135,11.2,464,3.4,38.7,0
Andre Brown,NYG,73,7.3,385,5.3,38.5,8
Mark Ingram,NO,156,9.8,602,3.9,37.6,5
Jonathan Stewart,CAR,93,10.3,336,3.6,37.3,1
Chris Ivory,NO,40,6.7,217,5.4,36.2,2
Bryce Brown,PHI,115,7.2,564,4.9,35.2,4
Kendall Hunter,SF,72,6.5,371,5.2,33.7,2
Bernard Pierce,BAL,108,6.8,532,4.9,33.2,1
Ryan Williams,ARI,58,11.6,164,2.8,32.8,0
Ryan Grant,GB,31,7.8,127,4.1,31.8,2
Michael Bush,CHI,114,8.8,411,3.6,31.6,5
Pierre Thomas,NO,105,7.0,473,4.5,31.5,1
LaMichael James,SF,27,6.8,125,4.6,31.2,0
Bilal Powell,NYJ,110,7.9,437,4.0,31.2,4
Rashard Mendenhall,PIT,51,8.5,182,3.6,30.3,0
Daryl Richardson,STL,98,6.1,475,4.8,29.7,0
Isaac Redman,PIT,110,7.9,410,3.7,29.3,2
Beanie Wells,ARI,88,11.0,234,2.7,29.2,5
Rashad Jennings,JAC,101,10.1,283,2.8,28.3,2
Brandon Bolden,NE,56,5.6,274,4.9,27.4,2
Daniel Thomas,MIA,91,7.6,325,3.6,27.1,4
