Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Ezekiel Elliott,DAL,322,21.5,1631,5.1,108.7,15
Le'Veon Bell,PIT,261,21.8,1268,4.9,105.7,7
Jordan Howard,CHI,252,16.8,1313,5.2,87.5,6
Andre Williams,SD,18,18.0,87,4.8,87.0,0
Jay Ajayi,MIA,260,17.3,1272,4.9,84.8,8
LeSean McCoy,BUF,234,15.6,1267,5.4,84.5,13
DeMarco Murray,TEN,293,18.3,1287,4.4,80.4,9
David Johnson,ARI,293,18.3,1239,4.2,77.4,16
Melvin Gordon,SD,254,19.5,997,3.9,76.7,10
Lamar Miller,HOU,268,19.1,1073,4.0,76.6,5
Carlos Hyde,SF,217,16.7,988,4.6,76.0,6
LeGarrette Blount,NE,299,18.7,1161,3.9,72.6,18
Eddie Lacy,GB,71,14.2,360,5.1,72.0,0
Devonta Freeman,ATL,227,14.2,1079,4.8,67.4,11
Spencer Ware,KC,214,15.3,921,4.3,65.8,3
Matt Jones,WAS,99,14.1,460,4.6,65.7,3
Mark Ingram,NO,205,12.8,1043,5.1,65.2,6
Frank Gore,IND,263,16.4,1025,3.9,64.1,4
Jonathan Stewart,CAR,218,16.8,824,3.8,63.4,9
C.J. Anderson,DEN,110,15.7,437,4.0,62.4,4
Isaiah Crowell,CLE,198,12.4,952,4.8,59.5,7
Matt Forte,NYJ,218,15.6,813,3.7,58.1,7
Danny Woodhead,SD,19,9.5,116,6.1,58.0,0
Latavius Murray,OAK,195,13.9,788,4.0,56.3,12
Jacquizz Rodgers,TB,129,12.9,560,4.3,56.0,2
Jeremy Hill,CIN,222,14.8,839,3.8,55.9,9
Todd Gurley,LA,278,17.4,885,3.2,55.3,6
Doug Martin,TB,144,18.0,421,2.9,52.6,3
Ryan Mathews,PHI,155,11.9,661,4.3,50.8,8
Ameer Abdullah,DET,18,9.0,101,5.6,50.5,0
Terrance West,BAL,193,12.1,774,4.0,48.4,5
Cameron Artis-Payne,CAR,36,12.0,144,4.0,48.0,2
Rob Kelley,WAS,168,11.2,704,4.2,46.9,6
Rashad Jennings,NYG,181,13.9,593,3.3,45.6,3
Bilal Powell,NYJ,131,8.2,722,5.5,45.1,3
Dion Lewis,NE,64,9.1,283,4.4,40.4,0
Tevin Coleman,ATL,118,9.1,520,4.4,40.0,8
Chris Ivory,JAX,117,10.6,439,3.8,39.9,3
Thomas Rawls,SEA,109,12.1,349,3.2,38.8,3
Justin Forsett,DEN,43,10.8,155,3.6,38.8,1
Mike Gillislee,BUF,101,6.7,577,5.7,38.5,8
Devontae Booker,DEN,174,10.9,612,3.5,38.2,4
DeAngelo Williams,PIT,98,10.9,343,3.5,38.1,4
Jerick McKinnon,MIN,159,10.6,539,3.4,35.9,2
Theo Riddick,DET,92,9.2,357,3.9,35.7,1
Tim Hightower,NO,133,8.3,548,4.1,34.2,4
Giovani Bernard,CIN,91,9.1,337,3.7,33.7,2
DeAndre Washington,OAK,87,6.2,467,5.4,33.4,2
Derrick Henry,TEN,110,7.3,490,4.5,32.7,5
Paul Perkins,NYG,112,8.0,456,4.1,32.6,0
Kenneth Dixon,BAL,88,7.3,382,4.3,31.8,2
Shane Vereen,NYG,33,6.6,158,4.8,31.6,1
T.J. Yeldon,JAX,130,8.7,465,3.6,31.0,1
Jalen Richard,OAK,83,5.2,491,5.9,30.7,1
Ty Montgomery,GB,77,5.1,457,5.9,30.5,3
Terron Ward,ATL,31,6.2,151,4.9,30.2,0
Alfred Blue,HOU,100,7.1,420,4.2,30.0,1
Darren Sproles,PHI,94,6.3,438,4.7,29.2,2
Darren McFadden,DAL,24,8.0,87,3.6,29.0,0
C.J. Prosise,SEA,30,5.0,172,5.7,28.7,1
Terrell Watson,PHI,9,9.0,28,3.1,28.0,1
Ronnie Hillman,SD,23,7.7,81,3.5,27.0,0
Matt Asiata,MIN,121,7.6,402,3.3,25.1,6
Adrian Peterson,MIN,37,12.3,72,1.9,24.0,0
Wendell Smallwood,PHI,77,5.9,312,4.1,24.0,1
Zach Zenner,DET,88,6.3,334,3.8,23.9,4
Chris Johnson,ARI,25,6.2,95,3.8,23.8,1
Duke Johnson,CLE,73,4.6,358,4.9,22.4,1
Chris Thompson,WAS,68,4.2,356,5.2,22.2,3
Dwayne Washington,DET,90,7.5,265,2.9,22.1,1
