Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Emmitt Smith,DAL,283,20.2,1486,5.3,106.1,9
Barry Sanders,DET,243,22.1,1115,4.6,101.4,3
Rodney Hampton,NYG,292,24.3,1077,3.7,89.8,5
Jerome Bettis,RAM,294,18.4,1429,4.9,89.3,7
Lorenzo Neal,NO,21,10.5,175,8.3,87.5,1
Thurman Thomas,BUF,355,22.2,1315,3.7,82.2,6
Barry Foster,PIT,177,19.7,711,4.0,79.0,8
Chris Warren,SEA,273,19.5,1072,3.9,76.6,7
Erric Pegram,ATL,292,18.2,1185,4.1,74.1,3
Ricky Watters,SF,208,16.0,950,4.6,73.1,10
Scottie Graham,MIN,118,16.9,488,4.1,69.7,3
Leonard Russell,NE,300,18.8,1088,3.6,68.0,7
Reggie Brooks,WAS,223,13.9,1063,4.8,66.4,3
Ronald Moore,PHO,263,16.4,1018,3.9,63.6,9
Gary Brown,HOU,195,12.2,1002,5.1,62.6,6
Lorenzo White,HOU,131,16.4,465,3.5,58.1,2
Reggie Cobb,TB,221,18.4,658,3.0,54.8,3
Johnny Johnson,NYJ,198,13.2,821,4.1,54.7,3
Rod Bernstine,DEN,223,14.9,816,3.7,54.4,4
Derek Brown,NO,180,13.8,705,3.9,54.2,2
Eric Lynch,DET,53,13.2,207,3.9,51.8,2
Leroy Thompson,PIT,205,13.7,763,3.7,50.9,3
Greg Robinson,RAI,156,13.0,591,3.8,49.2,1
Marcus Allen,KC,206,12.9,764,3.7,47.8,12
Marion Butts,SD,185,11.6,746,4.0,46.6,4
Herschel Walker,PHI,174,10.9,746,4.3,46.6,1
Roosevelt Potts,IND,179,11.2,711,4.0,44.4,0
Garrison Hearst,PHO,76,12.7,264,3.5,44.0,1
Tim Worley,CHI,110,11.0,437,4.0,43.7,2
Mark Higgs,MIA,186,11.6,693,3.7,43.3,3
Neal Anderson,CHI,202,13.5,646,3.2,43.1,4
Darrell Thompson,GB,169,10.6,654,3.9,40.9,3
Natrone Means,SD,160,10.0,645,4.0,40.3,8
Tommy Vardell,CLE,171,10.7,644,3.8,40.2,3
Robert Smith,MIN,82,8.2,399,4.9,39.9,2
Harold Green,CIN,215,14.3,589,2.7,39.3,0
Eric Metcalf,CLE,129,8.1,611,4.7,38.2,1
Lewis Tillman,NYG,121,7.6,585,4.8,36.6,3
Barry Word,MIN,142,10.9,458,3.2,35.2,2
Brad Baxter,NYJ,174,10.9,559,3.2,34.9,7
Edgar Bennett,GB,159,9.9,550,3.5,34.4,9
Derrick Fenner,CIN,121,8.1,482,4.0,32.1,1
Derrick Moore,DET,88,6.8,405,4.6,31.2,3
Robert Delpino,DEN,131,8.2,445,3.4,27.8,8
Heath Sherman,PHI,115,7.7,406,3.5,27.1,2
Derrick Lassic,DAL,75,7.5,269,3.6,26.9,3
Steve Broussard,ATL,39,4.9,206,5.3,25.8,1
Anthony Johnson,IND,95,7.3,331,3.5,25.5,1
Kenneth Davis,BUF,109,6.8,391,3.6,24.4,6
Terry Kirby,MIA,119,7.4,390,3.3,24.4,3
John L. Williams,SEA,82,5.1,371,4.5,23.2,3
Eric Dickerson,ATL,26,6.5,91,3.5,22.8,0
Harvey Williams,KC,42,6.0,149,3.5,21.3,0
Dave Meggett,NYG,69,4.3,329,4.8,20.6,0
Blair Thomas,NYJ,59,5.4,221,3.7,20.1,1
Marc Logan,SF,58,4.1,280,4.8,20.0,7
Cleveland Gary,RAM,79,5.3,293,3.7,19.5,1
Johnny Bailey,PHO,49,3.8,253,5.2,19.5,1
Lincoln Coleman,DAL,34,4.9,132,3.9,18.9,2
Vaughn Hebron,PHI,84,5.2,297,3.5,18.6,3
Todd McNair,KC,51,3.4,278,5.5,18.5,2
Kimble Anders,KC,75,4.7,291,3.9,18.2,0
Nick Bell,RAI,67,6.7,180,2.7,18.0,1
Vince Workman,TB,78,4.9,284,3.6,17.8,2
Keith Byars,MIA,64,4.0,269,4.2,16.8,3
Brad Muster,NO,64,4.9,214,3.3,16.5,3
Merril Hoge,PIT,51,3.2,249,4.9,15.6,1
Brian Mitchell,WAS,63,3.9,246,3.9,15.4,3
Amp Lee,SF,72,4.8,230,3.2,15.3,1
Glyn Milburn,DEN,52,3.2,231,4.4,14.4,0
Kevin Turner,NE,50,3.1,231,4.6,14.4,0
Leroy Hoard,CLE,56,3.5,227,4.1,14.2,0
Corey Croom,NE,60,4.3,198,3.3,14.1,1
Ronnie Harmon,SD,46,2.9,216,4.7,13.5,0
Ricky Ervins,WAS,50,3.3,201,4.0,13.4,0
Craig Heyward,CHI,68,4.2,206,3.0,12.9,0
Chuck Evans,MIN,14,4.7,32,2.3,10.7,0
Fred McAfee,NO,51,3.4,160,3.1,10.7,1
Dalton Hilliard,NO,50,3.1,165,3.3,10.3,2
Tom Rathman,SF,19,2.4,80,4.2,10.0,3
Sam Gash,NE,48,3.2,149,3.1,9.9,1
Jarrod Bunch,NYG,33,2.5,128,3.9,9.8,2
Adrian Murrell,NYJ,34,2.1,157,4.6,9.8,1
Steve Smith,RAI,47,2.9,156,3.3,9.8,0
Jon Vaughn,SEA,36,2.2,153,4.3,9.6,0
Larry Centers,PHO,25,1.6,152,6.1,9.5,0
Rodney Culver,IND,65,4.1,150,2.3,9.4,3
Tyrone Montgomery,RAI,37,3.1,106,2.9,8.8,0
Napoleon McCallum,RAI,37,2.8,114,3.1,8.8,3
James Joseph,PHI,39,2.4,140,3.6,8.8,0
Roger Craig,MIN,38,2.7,119,3.1,8.5,1
Eric Bieniemy,SD,33,2.1,135,4.1,8.4,1
Kenyon Rasheed,NYG,9,1.8,42,4.7,8.4,1
Kevin Mack,CLE,10,2.5,33,3.3,8.2,1
Mazio Royster,TB,33,2.4,115,3.5,8.2,1
Earnest Byner,WAS,23,1.4,105,4.6,6.6,1
Darren Lewis,CHI,7,3.5,13,1.9,6.5,0
Spencer Tillman,HOU,9,0.6,94,10.4,6.3,0
Pat Chaffey,NYJ,5,1.7,17,3.4,5.7,0
Derrick Ned,NO,9,0.6,71,7.9,5.1,1
Ryan Benjamin,CIN,3,3.0,5,1.7,5.0,0
David Lang,RAM,9,1.5,29,3.2,4.8,0
Daryl Johnston,DAL,24,1.5,74,3.1,4.6,3
Tim Lester,RAM,11,0.7,74,6.7,4.6,0
Dexter Carter,SF,10,0.6,72,7.2,4.5,1
Randy Baldwin,CLE,18,1.3,61,3.4,4.4,0
Carwell Gardner,BUF,20,1.5,56,2.8,4.3,0
Ostell Miles,CIN,22,1.5,56,2.5,3.7,1
Randy Jordan,RAI,12,1.2,33,2.8,3.3,0
Reggie Rivers,DEN,15,0.9,50,3.3,3.1,1
Rudy Harris,TB,7,0.7,29,4.1,2.9,0
Derrick Gainer,DAL,9,0.8,29,3.2,2.6,0
John Stephens,KC,6,0.9,18,3.0,2.6,0
Eric Ball,CIN,8,0.5,37,4.6,2.5,1
Rueben Mayes,SEA,1,1.0,2,2.0,2.0,0
Russell White,RAM,2,0.4,10,5.0,2.0,0
Robert Green,CHI,15,0.9,29,1.9,1.8,0
Ernie Thompson,KC,11,0.7,28,2.5,1.8,0
Adam Walker,SF,5,0.5,17,3.4,1.7,0
Anthony McDowell,TB,2,0.5,6,3.0,1.5,0
Bob Christian,CHI,8,0.6,19,2.4,1.4,0
Tommie Agee,DAL,6,0.5,13,2.2,1.1,0
Bernie Parmalee,MIA,4,0.2,16,4.0,1.0,0
Curvin Richards,DET,4,4.0,1,0.3,1.0,0
James Saxon,MIA,5,0.3,13,2.6,0.8,0
Randy Cuthbert,PIT,1,0.1,7,7.0,0.7,0
Tracy Johnson,SEA,2,0.1,8,4.0,0.5,0
