Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Arian Foster,HOU,327,20.4,1616,4.9,101.0,16
Maurice Jones-Drew,JAC,299,21.4,1324,4.4,94.6,5
Jamaal Charles,KC,230,14.4,1467,6.4,91.7,5
Darren McFadden,OAK,223,17.2,1157,5.2,89.0,7
Adrian Peterson,MIN,283,18.9,1298,4.6,86.5,12
Michael Turner,ATL,334,20.9,1371,4.1,85.7,12
Chris Johnson,TEN,316,19.8,1364,4.3,85.2,11
Rashard Mendenhall,PIT,324,20.2,1273,3.9,79.6,13
Steven Jackson,STL,330,20.6,1241,3.8,77.6,6
Frank Gore,SF,203,18.5,853,4.2,77.5,3
LeGarrette Blount,TB,201,15.5,1007,5.0,77.5,6
Ahmad Bradshaw,NYG,276,17.2,1235,4.5,77.2,8
Ray Rice,BAL,307,19.2,1220,4.0,76.2,5
Ryan Torain,WAS,164,16.4,742,4.5,74.2,4
Peyton Hillis,CLE,270,16.9,1177,4.4,73.6,11
LeSean McCoy,PHI,207,13.8,1080,5.2,72.0,7
Cedric Benson,CIN,321,20.1,1111,3.5,69.4,7
Matt Forte,CHI,237,14.8,1069,4.5,66.8,6
BenJarvus Green-Ellis,NE,229,14.3,1008,4.4,63.0,13
Joseph Addai,IND,116,14.5,495,4.3,61.9,4
LaDainian Tomlinson,NYJ,219,14.6,914,4.2,60.9,6
DeAngelo Williams,CAR,87,14.5,361,4.1,60.2,1
Knowshon Moreno,DEN,182,14.0,779,4.3,59.9,5
Chris Ivory,NO,137,11.4,716,5.2,59.7,5
Fred Jackson,BUF,222,13.9,927,4.2,57.9,5
Dominic Rhodes,IND,37,12.3,172,4.6,57.3,0
Ryan Mathews,SD,158,13.2,678,4.3,56.5,7
Thomas Jones,KC,245,15.3,896,3.7,56.0,6
Jonathan Stewart,CAR,178,12.7,770,4.3,55.0,2
Brandon Jacobs,NYG,147,9.2,823,5.6,51.4,9
Shonn Greene,NYJ,185,12.3,766,4.1,51.1,2
Felix Jones,DAL,185,11.6,800,4.3,50.0,1
Mike Tolbert,SD,182,12.1,735,4.0,49.0,11
Marshawn Lynch,SEA,165,13.8,573,3.5,47.8,6
Michael Bush,OAK,158,11.3,655,4.1,46.8,8
Tim Hightower,ARI,153,9.6,736,4.8,46.0,5
Ronnie Brown,MIA,200,12.5,734,3.7,45.9,5
Clinton Portis,WAS,54,10.8,227,4.2,45.4,2
Ryan Grant,GB,8,8.0,45,5.6,45.0,0
Pierre Thomas,NO,83,13.8,269,3.2,44.8,2
Brandon Jackson,GB,190,11.9,703,3.7,43.9,3
Ricky Williams,MIA,159,9.9,673,4.2,42.1,2
Danny Woodhead,NE,97,6.9,547,5.6,39.1,5
Donald Brown,IND,129,9.9,497,3.9,38.2,2
Rashad Jennings,JAC,84,6.5,459,5.5,35.3,4
Jahvid Best,DET,171,10.7,555,3.2,34.7,4
James Starks,GB,29,9.7,101,3.5,33.7,0
Justin Forsett,SEA,118,7.4,523,4.4,32.7,2
Beanie Wells,ARI,116,8.9,397,3.4,30.5,2
Jerome Harrison,PHI,40,5.0,239,6.0,29.9,1
Marion Barber,DAL,113,8.7,374,3.3,28.8,4
Mike Goodson,CAR,103,6.4,452,4.4,28.2,3
Jonathan Dwyer,PIT,9,9.0,28,3.1,28.0,0
Cadillac Williams,TB,125,7.8,437,3.5,27.3,2
Mike Hart,IND,43,6.1,185,4.3,26.4,1
Willis McGahee,BAL,100,6.7,380,3.8,25.3,5
Brian Westbrook,SF,77,5.5,340,4.4,24.3,4
Maurice Morris,DET,90,6.4,336,3.7,24.0,5
Jason Snelling,ATL,87,6.2,324,3.7,23.1,2
Kevin Faulk,NE,8,4.0,45,5.6,22.5,0
Kevin Smith,DET,34,5.7,133,3.9,22.2,0
Fred Taylor,NE,43,6.1,155,3.6,22.1,0
Toby Gerhart,MIN,81,5.4,322,4.0,21.5,1
Joe McKnight,NYJ,39,4.3,189,4.8,21.0,0
C.J. Spiller,BUF,74,5.3,283,3.8,20.2,0
Derrick Ward,HOU,50,3.1,315,6.3,19.7,4
Julius Jones,NO,48,4.8,193,4.0,19.3,0
Ladell Betts,NO,45,5.6,150,3.3,18.8,2
Reggie Bush,NO,36,4.5,150,4.2,18.8,0
Bernard Scott,CIN,61,3.8,299,4.9,18.7,1
Laurence Maroney,DEN,36,9.0,74,2.1,18.5,0
John Kuhn,GB,84,5.2,281,3.3,17.6,4
Keiland Williams,WAS,65,4.3,261,4.0,17.4,3
Thomas Clayton,NE,6,6.0,17,2.8,17.0,0
James Davis,WAS,15,5.0,51,3.4,17.0,0
Darren Sproles,SD,50,3.1,267,5.3,16.7,0
Chester Taylor,CHI,112,7.0,267,2.4,16.7,3
Lance Ball,DEN,41,4.1,158,3.9,15.8,0
Isaac Redman,PIT,52,3.2,247,4.8,15.4,0
Tashard Choice,DAL,66,4.1,243,3.7,15.2,3
Javon Ringer,TEN,51,3.2,239,4.7,14.9,2
Anthony Dixon,SF,70,4.4,237,3.4,14.8,2
Deji Karim,JAC,35,3.2,160,4.6,14.5,0
Javarris James,IND,46,4.6,112,2.4,11.2,6
Correll Buckhalter,DEN,59,3.9,147,2.5,9.8,2
Aaron Brown,DET,17,2.8,58,3.4,9.7,0
Albert Young,MIN,13,4.3,29,2.2,9.7,0
LaRod Stephens-Howling,ARI,23,1.8,113,4.9,8.7,1
Earnest Graham,TB,20,1.7,99,5.0,8.2,1
Dimitri Nance,GB,36,3.0,95,2.6,7.9,0
Tyrell Sutton,CAR,13,1.4,71,5.5,7.9,0
Steve Slaton,HOU,19,1.6,93,4.9,7.8,0
Kenneth Darby,STL,34,2.4,107,3.1,7.6,2
Marcel Reece,OAK,30,1.9,122,4.1,7.6,1
Michael Robinson,SEA,12,1.1,77,6.4,7.0,0
Mewelde Moore,PIT,33,2.2,99,3.0,6.6,0
Mike Bell,CLE,31,2.8,71,2.3,6.5,0
Leon Washington,SEA,27,1.7,100,3.7,6.2,1
