Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Chris Johnson,TEN,358,22.4,2006,5.6,125.4,14
Cedric Benson,CIN,301,23.2,1251,4.2,96.2,6
Steven Jackson,STL,324,21.6,1416,4.4,94.4,4
Thomas Jones,NYJ,331,20.7,1402,4.2,87.6,14
Maurice Jones-Drew,JAC,312,19.5,1391,4.5,86.9,15
Adrian Peterson,MIN,314,19.6,1383,4.4,86.4,18
DeAngelo Williams,CAR,216,16.6,1117,5.2,85.9,7
Ray Rice,BAL,254,15.9,1339,5.3,83.7,7
Frank Gore,SF,229,16.4,1120,4.9,80.0,10
Michael Turner,ATL,178,16.2,871,4.9,79.2,10
Ryan Grant,GB,282,17.6,1253,4.4,78.3,11
Jamaal Charles,KC,190,12.7,1120,5.9,74.7,7
Ronnie Brown,MIA,147,16.3,648,4.4,72.0,8
Jonathan Stewart,CAR,221,13.8,1133,5.1,70.8,10
Ricky Williams,MIA,241,15.1,1121,4.7,70.1,11
Rashard Mendenhall,PIT,242,15.1,1108,4.6,69.2,7
Fred Jackson,BUF,237,14.8,1062,4.5,66.4,2
Marion Barber,DAL,214,14.3,932,4.4,62.1,7
Clinton Portis,WAS,124,15.5,494,4.0,61.8,1
Jerome Harrison,CLE,194,13.9,862,4.4,61.6,5
Knowshon Moreno,DEN,247,15.4,947,3.8,59.2,7
Matt Forte,CHI,258,16.1,929,3.6,58.1,4
Kevin Smith,DET,217,16.7,747,3.4,57.5,4
Pierre Thomas,NO,147,10.5,793,5.4,56.6,6
Brandon Jacobs,NYG,224,14.9,835,3.7,55.7,5
Jamal Lewis,CLE,143,15.9,500,3.5,55.6,0
Joseph Addai,IND,219,14.6,828,3.8,55.2,10
LaDainian Tomlinson,SD,223,15.9,730,3.3,52.1,12
Ahmad Bradshaw,NYG,163,10.9,778,4.8,51.9,7
Cadillac Williams,TB,211,13.2,823,3.9,51.4,4
Laurence Maroney,NE,194,12.9,757,3.9,50.5,9
Mike Bell,NO,172,13.2,654,3.8,50.3,5
Beanie Wells,ARI,176,11.0,793,4.5,49.6,7
Felix Jones,DAL,116,8.3,685,5.9,48.9,3
Julius Jones,SEA,177,12.6,663,3.7,47.4,2
Leon Washington,NYJ,72,10.3,331,4.6,47.3,0
Correll Buckhalter,DEN,120,8.6,642,5.4,45.9,1
Fred Taylor,NE,63,10.5,269,4.3,44.8,4
Jason Snelling,ATL,142,10.1,613,4.3,43.8,4
Arian Foster,HOU,54,9.0,257,4.8,42.8,3
Justin Fargas,OAK,129,10.8,491,3.8,40.9,3
LeSean McCoy,PHI,155,9.7,637,4.1,39.8,4
Steve Slaton,HOU,131,11.9,437,3.3,39.7,3
Justin Forsett,SEA,114,7.1,619,5.4,38.7,4
Shonn Greene,NYJ,108,7.7,540,5.0,38.6,2
Tim Hightower,ARI,143,8.9,598,4.2,37.4,8
Michael Bush,OAK,123,7.7,589,4.8,36.8,3
Marshawn Lynch,BUF,120,9.2,450,3.8,34.6,2
Brian Westbrook,PHI,61,7.6,274,4.5,34.2,1
Willis McGahee,BAL,109,6.8,544,5.0,34.0,12
Kahlil Bell,CHI,40,5.7,220,5.5,31.4,0
Darren McFadden,OAK,104,8.7,357,3.4,29.8,1
Derrick Ward,TB,114,8.1,409,3.6,29.2,1
Larry Johnson,CIN,46,6.6,204,4.4,29.1,0
Reggie Bush,NO,70,5.0,390,5.6,27.9,5
Ryan Moats,HOU,101,7.2,390,3.9,27.9,4
Willie Parker,PIT,98,7.0,389,4.0,27.8,0
Maurice Morris,DET,93,6.6,384,4.1,27.4,2
Sammy Morris,NE,73,6.1,319,4.4,26.6,2
Donald Brown,IND,78,7.1,281,3.6,25.5,3
Jerious Norwood,ATL,76,7.6,252,3.3,25.2,0
Quinton Ganther,WAS,62,7.8,201,3.2,25.1,3
Chris Ogbonnaya,STL,11,5.5,50,4.5,25.0,0
Bernard Scott,CIN,74,5.7,321,4.3,24.7,0
Chris Jennings,CLE,63,7.0,220,3.5,24.4,1
Kevin Faulk,NE,62,4.1,335,5.4,22.3,2
Tashard Choice,DAL,64,4.0,349,5.5,21.8,3
Darren Sproles,SD,93,5.8,343,3.7,21.4,3
Chester Taylor,MIN,94,5.9,338,3.6,21.1,1
Ladell Betts,WAS,56,5.6,210,3.8,21.0,2
Leonard Weaver,PHI,70,4.4,323,4.6,20.2,2
Ahman Green,GB,41,5.1,160,3.9,20.0,1
