Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Christian Okoye,KC,370,24.7,1480,4.0,98.7,12
Barry Sanders,DET,280,18.7,1470,5.3,98.0,14
Eric Dickerson,IND,314,20.9,1311,4.2,87.4,7
Bo Jackson,RAI,173,15.7,950,5.5,86.4,4
Neal Anderson,CHI,274,17.1,1275,4.7,79.7,11
Dalton Hilliard,NO,344,21.5,1262,3.7,78.9,13
Thurman Thomas,BUF,298,18.6,1244,4.2,77.8,6
James Brooks,CIN,221,13.8,1239,5.6,77.4,7
Bobby Humphrey,DEN,294,18.4,1151,3.9,71.9,7
Greg Bell,RAM,272,17.0,1137,4.2,71.1,15
Gerald Riggs,WAS,201,16.8,834,4.1,69.5,4
Roger Craig,SF,271,16.9,1054,3.9,65.9,6
Ottis Anderson,NYG,325,20.3,1023,3.1,63.9,14
Herschel Walker,MIN,169,15.4,669,4.0,60.8,5
John Stephens,NE,244,17.4,833,3.4,59.5,7
Stump Mitchell,PHO,43,14.3,165,3.8,55.0,0
Brent Fullwood,GB,204,13.6,821,4.0,54.7,5
Tim Worley,PIT,195,13.0,770,3.9,51.3,5
Sammie Smith,MIA,200,15.4,659,3.3,50.7,6
Paul Palmer,DAL,112,12.4,446,4.0,49.6,2
Ickey Woods,CIN,29,14.5,94,3.2,47.0,2
Johnny Hector,NYJ,177,11.8,702,4.0,46.8,3
John Settle,ATL,179,11.9,689,3.8,45.9,3
Marion Butts,SD,170,11.3,683,4.0,45.5,9
Anthony Toney,PHI,172,12.3,582,3.4,41.6,3
Curt Warner,SEA,194,12.1,631,3.3,39.4,3
Lars Tate,TB,167,11.1,589,3.5,39.3,8
Merril Hoge,PIT,186,11.6,621,3.3,38.8,8
Rick Fenney,MIN,151,9.4,588,3.9,36.8,4
Marcus Allen,RAI,69,8.6,293,4.2,36.6,2
Earnest Byner,WAS,134,8.4,580,4.3,36.2,7
Larry Kinnebrew,BUF,131,8.7,533,4.1,35.5,6
Bob Perryman,NE,150,9.4,562,3.7,35.1,2
Troy Stradford,MIA,66,9.4,240,3.6,34.3,1
Earl Ferrell,PHO,149,9.9,502,3.4,33.5,6
John L. Williams,SEA,146,9.7,499,3.4,33.3,1
Alonzo Highsmith,HOU,128,8.0,531,4.1,33.2,4
Tim Spencer,SD,134,8.4,521,3.9,32.6,3
Kevin Mack,CLE,37,9.2,130,3.5,32.5,1
Freeman McNeil,NYJ,80,7.3,352,4.4,32.0,2
Steve Smith,RAI,117,7.3,471,4.0,29.4,1
Keith Byars,PHI,133,8.3,452,3.4,28.2,5
Allen Pinkett,HOU,94,5.9,449,4.8,28.1,1
Jamie Morris,WAS,124,10.3,336,2.7,28.0,2
Rod Bernstine,SD,15,3.0,137,9.1,27.4,1
Roger Vick,NYJ,112,7.0,434,3.9,27.1,5
Warren Williams,PIT,37,7.4,131,3.5,26.2,1
Eric Ball,CIN,98,6.5,391,4.0,26.1,3
Mike Rozier,HOU,88,7.3,301,3.4,25.1,2
Robert Delpino,RAM,78,4.9,368,4.7,23.0,1
William Howard,TB,108,6.8,357,3.3,22.3,1
Sammy Winder,DEN,110,6.9,351,3.2,21.9,2
Darrin Nelson,SD,36,4.0,197,5.5,21.9,0
Lorenzo White,HOU,104,6.5,349,3.4,21.8,5
Brad Muster,CHI,82,5.1,327,4.0,20.4,5
Marc Logan,MIA,57,5.7,201,3.5,20.1,0
Tom Rathman,SF,79,4.9,305,3.9,19.1,1
Jessie Clark,MIN,10,3.3,57,5.7,19.0,0
Albert Bentley,IND,75,4.7,299,4.0,18.7,1
Stanford Jennings,CIN,83,5.2,293,3.5,18.3,2
Lewis Tillman,NYG,79,4.9,290,3.7,18.1,0
Tim Manoa,CLE,87,5.4,289,3.3,18.1,3
Alfred Anderson,MIN,52,4.7,189,3.6,17.2,2
Keith Woodside,GB,46,2.9,273,5.9,17.1,1
Marvin Allen,NE,11,3.7,51,4.6,17.0,1
Cleveland Gary,RAM,37,3.7,163,4.4,16.3,1
Buford Jordan,NO,38,3.5,179,4.7,16.3,3
James Wilder,TB,70,4.7,244,3.5,16.3,0
Tony Jordan,PHO,83,6.4,211,2.5,16.2,2
D.J. Dozier,MIN,46,3.3,207,4.5,14.8,0
James Saxon,KC,58,3.6,233,4.0,14.6,3
Keith Jones,ATL,52,3.7,202,3.9,14.4,6
Sylvester Stamps,TB,29,2.9,141,4.9,14.1,1
Herman Heard,KC,63,3.9,216,3.4,13.5,0
Daryl Johnston,DAL,67,4.2,212,3.2,13.2,0
Mark Higgs,PHI,49,3.3,184,3.8,12.3,0
Gaston Green,RAM,26,4.3,73,2.8,12.2,0
Kenny Gamble,KC,6,3.0,24,4.0,12.0,1
Heath Sherman,PHI,40,2.7,177,4.4,11.8,2
Gene Lang,ATL,47,3.1,176,3.7,11.7,1
Craig Heyward,NO,49,3.1,183,3.7,11.4,1
Barry Redden,CLE,40,2.5,180,4.5,11.2,1
Jeff Alexander,DEN,45,3.2,146,3.2,10.4,2
Vance Mueller,RAI,48,3.0,161,3.4,10.1,2
Keith Jones,CLE,43,2.7,160,3.7,10.0,1
Maurice Carthon,NYG,57,3.6,153,2.7,9.6,0
Kenneth Davis,BUF,29,1.8,149,5.1,9.3,1
Craig Taylor,CIN,30,2.5,111,3.7,9.2,3
Vai Sikahema,PHO,38,2.4,145,3.8,9.1,0
Todd McNair,KC,23,1.6,121,5.3,8.6,0
Terrence Flagler,SF,33,2.2,129,3.9,8.6,1
Michael Haddix,GB,44,2.8,135,3.1,8.4,0
Derrick Fenner,SEA,11,2.2,41,3.7,8.2,1
Harry Sydney,SF,9,1.3,56,6.2,8.0,0
Robert Drummond,PHI,32,2.0,127,4.0,7.9,0
Thomas Sanders,CHI,41,2.6,127,3.1,7.9,0
Paul Frazier,NO,25,1.7,112,4.5,7.5,1
Dave Meggett,NYG,28,1.8,117,4.2,7.3,0
Mike Oliphant,CLE,15,1.1,97,6.5,6.9,1
Reggie Dupard,WAS,12,1.7,48,4.0,6.9,0
Mel Bratton,DEN,30,1.9,108,3.6,6.8,1
John Holifield,CIN,11,3.7,20,1.8,6.7,0
Dennis Gentry,CHI,17,1.1,106,6.2,6.6,0
Ronnie Harmon,BUF,17,1.1,99,5.8,6.6,0
Tony Paige,DET,30,1.9,105,3.5,6.6,0
Allen Rice,MIN,6,1.5,25,4.2,6.2,0
Ron Davenport,MIA,14,1.6,56,4.0,6.2,1
Broderick Sargent,DAL,20,1.4,87,4.4,6.2,1
Buford McGee,RAM,21,1.3,99,4.7,6.2,1
Kevin Harmon,SEA,1,0.2,24,24.0,6.0,0
Darryl Clack,DAL,14,1.8,40,2.9,5.0,2
Keith Henderson,SF,7,1.2,30,4.3,5.0,1
Lorenzo Hampton,MIA,17,1.7,47,2.8,4.7,0
Mark Green,CHI,5,0.5,46,9.2,4.6,1
Herman Fontenot,GB,17,1.1,69,4.1,4.3,1
Carl Painter,DET,15,1.0,64,4.3,4.3,0
A.B. Brown,NYJ,12,0.8,63,5.3,3.9,0
Bobby Morse,NO,2,0.2,43,21.5,3.9,0
Kerry Porter,RAI,13,0.8,54,4.2,3.4,0
Don Smith,TB,7,0.6,37,5.3,3.4,0
Greg Paterra,ATL,9,0.9,32,3.6,3.2,0
Lee Rouson,NYG,11,0.7,51,4.6,3.2,0
Matt Suhey,CHI,20,1.2,51,2.6,3.2,1
Jamie Mueller,BUF,16,1.1,44,2.8,3.1,0
Tony Baker,PHO,20,2.0,31,1.6,3.1,0
Kenny Flowers,ATL,13,1.6,24,1.8,3.0,1
Ivy Joe Hunter,IND,13,0.8,47,3.6,2.9,0
Tom Brown,MIA,13,1.4,26,2.0,2.9,0
Patrick Egu,NE,3,0.4,20,6.7,2.9,1
Steve Sewell,DEN,7,0.4,44,6.3,2.8,0
Mosi Tatupu,NE,11,0.8,38,3.5,2.7,0
Victor Floyd,SD,8,1.3,15,1.9,2.5,0
Ron Wolfley,PHO,13,0.8,36,2.8,2.2,1
Mel Gray,DET,3,0.3,22,7.3,2.2,0
George Adams,NYG,9,0.6,29,3.2,2.1,0
Elroy Harris,SEA,8,0.6,23,2.9,1.6,0
Junior Tautalatasi,DAL,6,0.5,15,2.5,1.2,0
Ray Wallace,PIT,5,0.6,10,2.0,1.1,1
Rodney Carter,PIT,11,0.7,16,1.5,1.1,1
Nuu Faaola,MIA,2,0.2,10,5.0,1.0,0
Tracy Johnson,HOU,4,0.2,16,4.0,1.0,0
Vince Workman,GB,4,0.3,8,2.0,0.5,1
Tim Tyrrell,PIT,1,0.1,3,3.0,0.4,0
Tommie Agee,KC,1,0.1,3,3.0,0.3,0
George Wonsley,NE,2,0.4,-2,-1.0,-0.4,0
Kevin Scott,DAL,2,0.7,-4,-2.0,-1.3,0
