Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Marion Butts,SD,265,18.9,1225,4.6,87.5,8
Barry Sanders,DET,255,15.9,1304,5.1,81.5,13
Thurman Thomas,BUF,271,16.9,1297,4.8,81.1,11
Bobby Humphrey,DEN,288,19.2,1202,4.2,80.1,7
Earnest Byner,WAS,297,18.6,1219,4.1,76.2,6
Neal Anderson,CHI,260,17.3,1078,4.1,71.9,10
Bo Jackson,RAI,125,12.5,698,5.6,69.8,5
Johnny Johnson,PHO,234,16.7,926,4.0,66.1,5
Barry Word,KC,204,12.8,1015,5.0,63.4,4
James Brooks,CIN,195,12.2,1004,5.1,62.8,5
Eric Dickerson,IND,166,15.1,677,4.1,61.5,4
Emmitt Smith,DAL,241,15.1,937,3.9,58.6,11
Christian Okoye,KC,245,17.5,805,3.3,57.5,7
Cleveland Gary,RAM,204,13.6,808,4.0,53.9,14
Derrick Fenner,SEA,215,13.4,859,4.0,53.7,14
Sammie Smith,MIA,226,14.1,831,3.7,51.9,8
Mike Rozier,ATL,153,11.8,675,4.4,51.9,3
John Stephens,NE,212,13.2,808,3.8,50.5,2
Kevin Mack,CLE,158,11.3,702,4.4,50.1,5
Rod Bernstine,SD,124,10.3,589,4.8,49.1,4
Ottis Anderson,NYG,225,14.1,784,3.5,49.0,11
Heath Sherman,PHI,164,11.7,685,4.2,48.9,1
Merril Hoge,PIT,203,12.7,772,3.8,48.2,7
Herschel Walker,MIN,184,11.5,770,4.2,48.1,5
Gerald Riggs,WAS,123,12.3,475,3.9,47.5,6
Dalton Hilliard,NO,90,15.0,284,3.2,47.3,0
John L. Williams,SEA,187,11.7,714,3.8,44.6,3
Lorenzo White,HOU,168,10.5,702,4.2,43.9,8
Marcus Allen,RAI,179,11.2,682,3.8,42.6,12
Brad Muster,CHI,141,8.8,664,4.7,41.5,6
Blair Thomas,NYJ,123,8.2,620,5.0,41.3,1
Gary Anderson,TB,166,10.4,646,3.9,40.4,3
Roger Craig,SF,141,12.8,439,3.1,39.9,1
Tim Worley,PIT,109,9.9,418,3.8,38.0,0
Craig Heyward,NO,129,8.1,599,4.6,37.4,4
Steve Broussard,ATL,126,9.7,454,3.6,34.9,4
Albert Bentley,IND,137,8.6,556,4.1,34.8,4
Rueben Mayes,NO,138,9.2,510,3.7,34.0,7
Brad Baxter,NYJ,124,7.8,539,4.3,33.7,6
Rick Fenney,MIN,87,7.2,376,4.3,31.3,2
Rodney Hampton,NYG,109,7.3,455,4.2,30.3,2
Anthony Toney,PHI,132,8.8,452,3.4,30.1,1
Reggie Cobb,TB,151,9.4,480,3.2,30.0,2
Anthony Thompson,PHO,106,8.2,390,3.7,30.0,4
Marvin Allen,NE,63,7.9,237,3.8,29.6,1
Harold Green,CIN,83,6.9,353,4.3,29.4,1
Dexter Carter,SF,114,7.1,460,4.0,28.8,1
Freeman McNeil,NYJ,99,6.2,458,4.6,28.6,6
Warren Williams,PIT,68,4.9,389,5.7,27.8,3
Greg Bell,RAI,47,7.8,164,3.5,27.3,1
Ickey Woods,CIN,64,6.4,268,4.2,26.8,6
Johnny Hector,NYJ,91,6.1,377,4.1,25.1,2
Gill Fenerty,NO,73,4.9,355,4.9,23.7,2
Ronnie Harmon,SD,66,4.1,363,5.5,22.7,0
Thomas Sanders,PHI,56,5.6,208,3.7,20.8,1
Steve Smith,RAI,81,5.1,327,4.0,20.4,2
Tom Rathman,SF,101,6.3,318,3.1,19.9,7
Curt Warner,RAM,49,7.0,139,2.8,19.9,1
Marc Logan,MIA,79,4.9,317,4.0,19.8,2
Michael Haddix,GB,98,6.1,311,3.2,19.4,0
Kenneth Davis,BUF,64,4.0,302,4.7,18.9,4
Alfred Anderson,MIN,59,5.4,207,3.5,18.8,2
Craig Taylor,CIN,51,4.2,216,4.2,18.0,2
Allen Pinkett,HOU,66,4.4,268,4.1,17.9,0
Gaston Green,RAM,68,4.5,261,3.8,17.4,0
Darrell Thompson,GB,76,4.8,264,3.5,16.5,1
Buford McGee,RAM,44,2.8,234,5.3,14.6,1
Lewis Tillman,NYG,84,5.2,231,2.8,14.4,1
Tommie Agee,DAL,53,3.3,213,4.0,13.3,0
Jamie Mueller,BUF,59,3.7,207,3.5,12.9,2
Barry Foster,PIT,36,2.2,203,5.6,12.7,1
Keith Jones,ATL,49,3.3,185,3.8,12.3,0
Reggie Dupard,WAS,19,2.7,85,4.5,12.1,0
Keith Woodside,GB,46,2.9,182,4.0,11.4,1
Leroy Hoard,CLE,58,4.1,149,2.6,10.6,3
Mark Green,CHI,27,2.2,126,4.7,10.5,0
Harry Sydney,SF,35,2.2,166,4.7,10.4,2
Marcus Dupree,RAM,19,2.7,72,3.8,10.3,0
Dave Meggett,NYG,22,1.4,164,7.5,10.2,0
Troy Stradford,MIA,37,2.6,138,3.7,9.9,1
Jessie Clark,MIN,16,3.2,49,3.1,9.8,0
Blake Ezor,DEN,23,2.6,81,3.5,9.0,0
Larry Kinnebrew,BUF,9,4.5,18,2.0,9.0,1
Maurice Carthon,NYG,36,2.2,143,4.0,8.9,0
Keith Byars,PHI,37,2.3,141,3.8,8.8,0
Robert Drummond,PHI,8,2.0,33,4.1,8.2,1
A.B. Brown,NYJ,1,1.0,8,8.0,8.0,0
Gene Lang,ATL,9,3.0,24,2.7,8.0,0
Sammy Winder,DEN,42,2.8,120,2.9,8.0,2
Victor Jones,HOU,14,1.4,75,5.4,7.5,0
Tony Paige,MIA,32,2.5,95,3.0,7.3,2
John Harvey,TB,27,1.7,113,4.2,7.1,0
Keith Henderson,SF,6,3.0,14,2.3,7.0,0
George Adams,NE,28,1.8,111,4.0,6.9,0
