Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Barry Sanders,DET,342,22.8,1548,4.5,103.2,16
Emmitt Smith,DAL,365,22.8,1563,4.3,97.7,12
Thurman Thomas,BUF,288,19.2,1407,4.9,93.8,7
Gaston Green,DEN,261,20.1,1037,4.0,79.8,4
Rodney Hampton,NYG,256,18.3,1059,4.1,75.6,10
Christian Okoye,KC,225,16.1,1031,4.6,73.6,9
Earnest Byner,WAS,274,17.1,1048,3.8,65.5,5
Mark Higgs,MIA,231,16.5,905,3.9,64.6,4
Leonard Russell,NE,266,16.6,959,3.6,59.9,4
Rod Bernstine,SD,159,12.2,766,4.8,58.9,8
Tim Worley,PIT,22,11.0,117,5.3,58.5,0
Neal Anderson,CHI,210,16.2,747,3.6,57.5,6
Herschel Walker,MIN,198,13.2,825,4.2,55.0,10
Fred McAfee,NO,109,12.1,494,4.5,54.9,2
Eric Dickerson,IND,167,16.7,536,3.2,53.6,2
Harold Green,CIN,158,11.3,731,4.6,52.2,2
Marion Butts,SD,193,12.1,834,4.3,52.1,6
Kevin Mack,CLE,197,14.1,726,3.7,51.9,8
Barry Foster,PIT,96,9.6,488,5.1,48.8,1
Reggie Cobb,TB,196,12.2,752,3.8,47.0,7
John L. Williams,SEA,188,11.8,741,3.9,46.3,4
Blair Thomas,NYJ,189,11.8,728,3.9,45.5,3
Ricky Ervins,WAS,145,9.7,680,4.7,45.3,3
Allen Pinkett,HOU,171,10.7,720,4.2,45.0,9
Johnny Johnson,PHO,196,13.1,666,3.4,44.4,4
Robert Delpino,RAM,214,13.4,688,3.2,43.0,9
Barry Word,KC,160,10.0,684,4.3,42.8,4
Brad Baxter,NYJ,184,11.5,666,3.6,41.6,11
Keith Henderson,SF,137,9.8,561,4.1,40.1,2
Ricky Blake,DAL,15,7.5,80,5.3,40.0,1
Roger Craig,RAI,162,10.8,590,3.6,39.3,1
Kenneth Davis,BUF,129,8.1,624,4.8,39.0,4
Merril Hoge,PIT,165,10.3,610,3.7,38.1,2
James Brooks,CIN,152,10.1,571,3.8,38.1,2
Terry Allen,MIN,120,8.0,563,4.7,37.5,2
Brad Muster,CHI,90,8.2,412,4.6,37.5,6
Craig Heyward,NO,76,10.9,260,3.4,37.1,4
Darrell Thompson,GB,141,10.8,471,3.3,36.2,1
Marcus Allen,RAI,63,7.9,287,4.6,35.9,2
Lorenzo White,HOU,110,8.5,465,4.2,35.8,4
Nick Bell,RAI,78,8.7,307,3.9,34.1,3
Ronnie Harmon,SD,89,5.6,544,6.1,34.0,1
Mike Rozier,ATL,96,8.7,361,3.8,32.8,0
Steve Broussard,ATL,99,7.1,449,4.5,32.1,4
Harvey Williams,KC,97,6.9,447,4.6,31.9,1
Gill Fenerty,NO,139,8.7,477,3.4,29.8,3
James Joseph,PHI,135,8.4,440,3.3,27.5,3
Dalton Hilliard,NO,79,7.9,252,3.2,25.2,4
Keith Jones,ATL,35,7.0,126,3.6,25.2,0
Sammie Smith,MIA,83,6.9,297,3.6,24.8,1
Johnny Hector,NYJ,62,4.4,345,5.6,24.6,0
Cleveland Gary,RAM,68,6.8,245,3.6,24.5,1
Thomas Sanders,PHI,54,10.8,122,2.3,24.4,1
Derrick Fenner,SEA,91,8.3,267,2.9,24.3,4
Keith Byars,PHI,94,5.9,383,4.1,23.9,1
Dexter Carter,SF,85,5.3,379,4.5,23.7,2
Greg Lewis,DEN,99,6.2,376,3.8,23.5,4
Anthony Thompson,PHO,126,7.9,376,3.0,23.5,1
Freeman McNeil,NYJ,51,3.9,300,5.9,23.1,2
Ken Clark,IND,114,7.1,366,3.2,22.9,0
Marcus Dupree,RAM,49,6.1,179,3.7,22.4,1
Erric Pegram,ATL,101,6.3,349,3.5,21.8,1
Marcus Wilson,RAI,6,6.0,21,3.5,21.0,0
Keith Woodside,GB,84,5.2,326,3.9,20.4,1
Joe Morris,CLE,93,5.8,289,3.1,18.1,2
Lewis Tillman,NYG,65,4.1,287,4.4,17.9,1
Heath Sherman,PHI,106,6.6,279,2.6,17.4,0
Allen Rice,GB,30,5.0,100,3.3,16.7,0
Steve Smith,RAI,62,3.9,265,4.3,16.6,1
Gary Anderson,TB,72,4.5,263,3.7,16.4,1
Warren Williams,PIT,57,3.6,262,4.6,16.4,4
Tim Manoa,IND,27,3.0,144,5.3,16.0,1
Gerald Riggs,WAS,78,4.9,248,3.2,15.5,11
Harry Sydney,SF,57,3.6,245,4.3,15.3,5
Vince Workman,GB,71,4.4,237,3.3,14.8,7
Ottis Anderson,NYG,53,5.3,141,2.7,14.1,1
Mark Green,CHI,61,3.8,217,3.6,13.6,3
Eric Metcalf,CLE,30,3.8,107,3.6,13.4,0
Steve Sewell,DEN,50,3.1,211,4.2,13.2,2
Darrin Nelson,MIN,28,1.8,210,7.5,13.1,2
Craig Taylor,CIN,33,2.8,153,4.6,12.8,2
John Stephens,NE,63,4.5,163,2.6,11.6,2
Tom Rathman,SF,63,3.9,183,2.9,11.4,6
Mike Dingle,CIN,21,2.6,91,4.3,11.4,0
Robert Wilson,TB,42,2.6,179,4.3,11.2,0
Ickey Woods,CIN,36,4.0,97,2.7,10.8,4
Buford Jordan,NO,47,3.4,150,3.2,10.7,2
Anthony Johnson,IND,22,2.4,94,4.3,10.4,0
Leroy Hoard,CLE,37,2.3,154,4.2,9.6,2
James Jones,SEA,45,2.8,154,3.4,9.6,3
Dave Meggett,NYG,29,1.8,153,5.3,9.6,1
Carwell Gardner,BUF,42,2.6,146,3.5,9.1,4
Jon Vaughn,NE,31,1.9,146,4.7,9.1,2
Pat Chaffey,ATL,29,2.1,127,4.4,9.1,1
Rick Fenney,MIN,23,2.1,99,4.3,9.0,0
Bobby Humphrey,DEN,11,2.8,33,3.0,8.2,0
D.J. Dozier,DET,9,1.5,48,5.3,8.0,0
Gary Brown,HOU,8,0.7,85,10.6,7.7,1
Alfred Anderson,MIN,26,1.6,118,4.5,7.4,1
Cedric Jackson,DET,17,2.1,55,3.2,6.9,0
Napoleon McCallum,RAI,31,1.9,110,3.5,6.9,1
Maurice Carthon,NYG,32,2.0,109,3.4,6.8,0
James Rouse,CHI,27,1.9,74,2.7,5.3,0
Larry Centers,PHO,14,1.6,44,3.1,4.9,0
Leroy Thompson,PIT,20,1.5,60,3.0,4.6,0
Derek Loville,SEA,22,1.4,69,3.1,4.3,0
Don Overton,DET,14,1.0,59,4.2,4.2,0
Aaron Craver,MIA,20,1.4,58,2.9,4.1,1
Ivy Joe Hunter,NE,18,1.4,53,2.9,4.1,0
Buford McGee,RAM,19,1.2,65,3.4,4.1,0
Dennis Gentry,CHI,9,0.6,58,6.4,3.9,0
Todd McNair,KC,10,0.7,51,5.1,3.6,0
Eric Ball,CIN,10,1.7,21,2.1,3.5,1
Daryl Johnston,DAL,17,1.1,54,3.2,3.4,0
Marvin Allen,NE,13,0.9,50,3.8,3.3,0
Chris Samuels,SD,2,0.7,10,5.0,3.3,0
Johnny Bailey,CHI,15,1.1,43,2.9,3.1,1
Bob Perryman,DEN,21,1.4,45,2.1,3.0,0
Vernon Turner,RAM,7,0.5,44,6.3,2.9,0
Spencer Tillman,SF,13,0.8,40,3.1,2.5,0
Darren Lewis,CHI,15,1.0,36,2.4,2.4,0
Ernie Thompson,RAM,2,0.5,9,4.5,2.2,0
Curvin Richards,DAL,2,1.0,4,2.0,2.0,0
Alonzo Highsmith,TB,5,0.5,21,4.2,1.9,0
Robert Drummond,PHI,12,0.8,27,2.3,1.7,2
Tracy Johnson,ATL,8,0.5,26,3.3,1.6,0
Tony Paige,MIA,10,0.6,25,2.5,1.6,0
George Adams,NE,2,1.0,3,1.5,1.5,0
Tommie Agee,DAL,9,0.6,20,2.2,1.2,1
Bobby Morse,NO,3,0.5,7,2.3,1.2,0
Eric Bieniemy,SD,3,0.2,17,5.7,1.1,0
Terrence Flagler,PHO,1,0.1,7,7.0,1.0,0
Brian Mitchell,WAS,3,0.2,14,4.7,0.9,0
Lee Rouson,CLE,3,0.2,14,4.7,0.9,0
James Saxon,KC,6,0.4,13,2.2,0.8,0
Chris Warren,SEA,11,0.7,13,1.2,0.8,0
Bruce Perkins,IND,4,0.3,11,2.8,0.8,0
Troy Stradford,KC,1,0.1,7,7.0,0.7,0
Mel Gray,DET,2,0.1,11,5.5,0.7,0
A.B. Brown,NYJ,3,0.3,4,1.3,0.4,1
Marc Logan,MIA,4,0.2,5,1.3,0.3,0
Reggie Rivers,DEN,2,0.1,5,2.5,0.3,0
Jarrod Bunch,NYG,1,0.1,0,0.0,0.0,0
