Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Jamal Lewis,BAL,387,24.2,2066,5.3,129.1,14
Clinton Portis,DEN,290,22.3,1591,5.5,122.4,14
Ahman Green,GB,355,22.2,1883,5.3,117.7,15
Stephen Davis,CAR,318,22.7,1444,4.5,103.1,8
LaDainian Tomlinson,SD,313,19.6,1645,5.3,102.8,13
Deuce McAllister,NO,351,21.9,1641,4.7,102.6,8
Fred Taylor,JAC,345,21.6,1572,4.6,98.2,6
Edgerrin James,IND,310,23.8,1259,4.1,96.8,11
Travis Henry,BUF,331,22.1,1356,4.1,90.4,10
Shaun Alexander,SEA,326,20.4,1435,4.4,89.7,14
Priest Holmes,KC,320,20.0,1420,4.4,88.8,27
Ricky Williams,MIA,392,24.5,1372,3.5,85.8,9
Curtis Martin,NYJ,323,20.2,1308,4.0,81.8,2
William Green,CLE,142,20.3,559,3.9,79.9,1
Anthony Thomas,CHI,244,18.8,1024,4.2,78.8,6
Tiki Barber,NYG,278,17.4,1216,4.4,76.0,2
Marshall Faulk,STL,209,19.0,818,3.9,74.4,10
Domanick Williams,HOU,238,17.0,1031,4.3,73.6,8
Rudi Johnson,CIN,215,16.5,957,4.5,73.6,9
Eddie George,TEN,312,19.5,1031,3.3,64.4,5
Kevan Barlow,SF,201,12.6,1024,5.1,64.0,6
Garrison Hearst,SF,178,14.8,768,4.3,64.0,3
Warrick Dunn,ATL,125,11.4,672,5.4,61.1,3
Troy Hambrick,DAL,275,17.2,972,3.5,60.8,5
Michael Bennett,MIN,90,11.2,447,5.0,55.9,1
Trung Canidate,WAS,142,12.9,600,4.2,54.5,1
Marcel Shipp,ARI,228,14.2,830,3.6,51.9,0
Jerome Bettis,PIT,246,15.4,811,3.3,50.7,7
Antowain Smith,NE,182,14.0,642,3.5,49.4,3
T.J. Duckett,ATL,197,12.3,779,4.0,48.7,11
Michael Pittman,TB,187,11.7,751,4.0,46.9,0
Moe Williams,MIN,174,10.9,745,4.3,46.6,5
Tyrone Wheatley,OAK,159,10.6,678,4.3,45.2,4
Kevin Faulk,NE,178,11.9,638,3.6,42.5,0
Corey Dillon,CIN,138,10.6,541,3.9,41.6,2
Lee Suggs,CLE,56,8.0,289,5.2,41.3,2
Brian Westbrook,PHI,117,7.8,613,5.2,40.9,7
Charlie Garner,OAK,120,8.6,553,4.6,39.5,3
Thomas Jones,TB,137,8.6,627,4.6,39.2,3
Onterrio Smith,MIN,107,7.1,579,5.4,38.6,5
Shawn Bryson,DET,158,9.9,606,3.8,37.9,3
Correll Buckhalter,PHI,126,8.4,542,4.3,36.1,8
Adrian Murrell,DAL,28,9.3,107,3.8,35.7,0
Quentin Griffin,DEN,94,9.4,345,3.7,34.5,0
Artose Pinner,DET,39,13.0,99,2.5,33.0,0
James Jackson,CLE,102,8.5,382,3.7,31.8,3
Stacey Mack,HOU,93,11.6,253,2.7,31.6,4
Cecil Sapp,DEN,12,12.0,31,2.6,31.0,0
DeShaun Foster,CAR,113,8.1,429,3.8,30.6,0
J.R. Redmond,OAK,9,9.0,30,3.3,30.0,0
Lamar Gordon,STL,71,7.1,298,4.2,29.8,1
Olandis Gary,DET,113,8.7,384,3.4,29.5,2
Duce Staley,PHI,96,6.0,463,4.8,28.9,5
Ladell Betts,WAS,77,8.6,255,3.3,28.3,2
Najeh Davenport,GB,77,5.1,420,5.5,28.0,2
Rock Cartwright,WAS,107,7.1,411,3.8,27.4,4
Amos Zereoue,PIT,132,8.2,433,3.3,27.1,2
Emmitt Smith,ARI,90,9.0,256,2.8,25.6,2
Mike Cloud,NE,27,5.4,118,4.4,23.6,5
Aveion Cason,DAL,40,4.0,220,5.5,22.0,2
Mike Anderson,DEN,70,5.8,257,3.7,21.4,3
Richie Anderson,DAL,70,4.7,306,4.4,20.4,1
Justin Fargas,OAK,40,4.0,203,5.1,20.3,0
Chris Brown,TEN,56,5.1,221,3.9,20.1,0
Mike Alstott,TB,27,6.8,77,2.9,19.2,2
Dorsey Levens,NYG,68,6.2,197,2.9,17.9,3
Brock Forsey,CHI,50,4.5,191,3.8,17.4,2
Chester Taylor,BAL,63,3.9,276,4.4,17.2,2
Jamel White,CLE,70,4.4,266,3.8,16.6,1
Arlen Harris,STL,85,5.3,255,3.0,15.9,4
Lamar Smith,NO,11,2.8,61,5.5,15.2,0
Jamal Robertson,SF,32,3.6,136,4.3,15.1,0
Maurice Morris,SEA,38,2.4,239,6.3,14.9,0
Chad Morton,WAS,48,3.2,216,4.5,14.4,0
Dominic Rhodes,IND,37,3.4,157,4.2,14.3,0
Larry Johnson,KC,20,3.3,85,4.3,14.2,1
Erik Bickerstaff,DAL,19,4.8,56,2.9,14.0,1
Robert Holcombe,TEN,63,4.2,201,3.2,13.4,1
Tony Fisher,GB,40,2.7,200,5.0,13.3,1
LaBrandon Toefield,JAC,53,3.3,212,4.0,13.2,2
Travis Minor,MIA,41,2.6,193,4.7,12.1,1
Ricky Williams,IND,48,3.7,155,3.2,11.9,2
LaMont Jordan,NYJ,46,2.9,190,4.1,11.9,4
Adrian Peterson,CHI,22,3.7,70,3.2,11.7,0
Chris Fuamatu-Ma'afala,JAC,35,2.7,144,4.1,11.1,1
Mack Strong,SEA,37,2.3,174,4.7,10.9,1
Brandon Bennett,CIN,56,3.5,173,3.1,10.8,0
Justin Griffith,ATL,38,2.4,168,4.4,10.5,0
Larry Centers,NE,21,2.3,82,3.9,9.1,0
Zack Crockett,OAK,48,3.0,145,3.0,9.1,7
Ki-Jana Carter,NO,19,2.4,72,3.8,9.0,1
Sultan McCullough,WAS,1,1.0,9,9.0,9.0,0
James Mungro,IND,24,3.4,60,2.5,8.6,2
Doug Chapman,MIN,15,3.8,33,2.2,8.2,0
Aaron Stecker,TB,37,2.3,125,3.4,7.8,0
Sammy Morris,BUF,19,2.1,70,3.7,7.8,1
Tony Hollings,HOU,38,2.7,102,2.7,7.3,0
