Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Barry Sanders,DET,335,20.9,2053,6.1,128.3,11
Terrell Davis,DEN,369,24.6,1750,4.7,116.7,15
Jerome Bettis,PIT,375,25.0,1665,4.4,111.0,7
Robert Smith,MIN,232,16.6,1266,5.5,90.4,6
Dorsey Levens,GB,329,20.6,1435,4.4,89.7,7
Curtis Martin,NE,274,21.1,1160,4.2,89.2,4
Eddie George,TEN,357,22.3,1399,3.9,87.4,6
Napoleon Kaufman,OAK,272,17.0,1294,4.8,80.9,6
Raymont Harris,CHI,275,21.2,1033,3.8,79.5,10
Garrison Hearst,SF,234,18.0,1019,4.4,78.4,4
Terry Allen,WAS,210,21.0,724,3.4,72.4,4
Corey Dillon,CIN,233,14.6,1129,4.8,70.6,10
Bam Morris,BAL,204,18.5,774,3.8,70.4,4
Ricky Watters,PHI,285,17.8,1110,3.9,69.4,7
Adrian Murrell,NYJ,300,18.8,1086,3.6,67.9,7
Emmitt Smith,DAL,261,16.3,1074,4.1,67.1,4
Marshall Faulk,IND,264,16.5,1054,4.0,65.9,7
Gary Brown,SD,253,16.9,945,3.7,63.0,4
Jamal Anderson,ATL,290,18.1,1002,3.5,62.6,7
Fred Lane,CAR,182,14.0,809,4.4,62.2,7
Warrick Dunn,TB,224,14.0,978,4.4,61.1,4
Natrone Means,JAC,244,17.4,823,3.4,58.8,9
Chris Warren,SEA,200,13.3,847,4.2,56.5,4
Abdul-Karim al-Jabbar,MIA,283,17.7,892,3.2,55.8,15
Antowain Smith,BUF,194,12.1,840,4.3,52.5,8
Mike Alstott,TB,176,11.7,665,3.8,44.3,7
Charles Way,NYG,151,9.4,698,4.6,43.6,4
Tiki Barber,NYG,136,11.3,511,3.8,42.6,3
Jerald Moore,STL,104,11.6,380,3.7,42.2,3
Tyrone Wheatley,NYG,152,10.9,583,3.8,41.6,4
Stephen Davis,WAS,141,10.1,567,4.0,40.5,3
Rodney Hampton,NYG,23,11.5,81,3.5,40.5,1
Thurman Thomas,BUF,154,9.6,643,4.2,40.2,1
Tim Biakabutuka,CAR,75,9.4,299,4.0,37.4,2
Rashaan Salaam,CHI,31,10.3,112,3.6,37.3,0
Mario Bates,NO,119,9.9,440,3.7,36.7,4
James Stewart,JAC,136,8.5,555,4.1,34.7,8
Ray Zellars,NO,156,9.8,552,3.5,34.5,4
Greg Hill,KC,157,9.8,550,3.5,34.4,0
Charlie Garner,PHI,116,7.2,547,4.7,34.2,3
Lamar Smith,SEA,91,7.6,392,4.3,32.7,2
Marcus Allen,KC,124,7.8,505,4.1,31.6,11
Ki-Jana Carter,CIN,128,8.5,464,3.6,30.9,7
Leeland McElroy,ARI,135,9.6,424,3.1,30.3,2
Sherman Williams,DAL,121,7.6,468,3.9,29.2,2
Ronald Moore,ARI,57,9.5,175,3.1,29.2,0
Kimble Anders,KC,79,5.3,397,5.0,26.5,0
Donnell Bennett,KC,94,6.7,369,3.9,26.4,1
Steve Broussard,SEA,70,4.4,418,6.0,26.1,5
Terry Kirby,SF,125,7.8,418,3.3,26.1,6
Darnell Autry,CHI,112,8.6,319,2.8,24.5,1
Jay Graham,BAL,81,6.2,299,3.7,23.0,2
Anthony Johnson,CAR,97,6.1,358,3.7,22.4,0
Lawrence Phillips,MIA,18,9.0,44,2.4,22.0,0
Byron Hanspard,ATL,53,3.3,335,6.3,20.9,0
Leroy Hoard,MIN,80,6.7,235,2.9,19.6,4
Earnest Byner,BAL,84,5.2,313,3.7,19.6,0
Rodney Thomas,TEN,67,4.2,310,4.6,19.4,3
Zack Crockett,IND,95,5.9,300,3.2,18.8,1
Larry Centers,ARI,101,6.7,276,2.7,18.4,1
Troy Davis,NO,75,4.7,271,3.6,16.9,0
William Floyd,SF,78,5.2,231,3.0,15.4,3
Irving Spikes,MIA,63,5.2,180,2.9,15.0,2
George Jones,PIT,72,4.5,235,3.3,14.7,1
Vaughn Hebron,DEN,49,3.1,222,4.5,13.9,1
Terrell Fletcher,SD,51,3.9,161,3.2,12.4,0
Aaron Hayden,GB,32,2.3,148,4.6,10.6,1
Jerris McPhail,MIA,17,1.2,146,8.6,10.4,1
Ron Rivers,DET,29,1.8,166,5.7,10.4,1
Leon Johnson,NYJ,48,3.0,158,3.3,9.9,2
Chuck Evans,MIN,43,2.7,157,3.7,9.8,2
Scott Greene,CAR,45,2.8,157,3.5,9.8,1
Clif Groce,IND,10,1.4,66,6.6,9.4,0
Errict Rhett,TB,31,2.8,96,3.1,8.7,3
Darick Holmes,BUF,22,1.7,106,4.8,8.2,2
Derek Loville,DEN,25,1.6,124,5.0,7.8,1
Tommy Vardell,DET,32,2.0,122,3.8,7.6,6
Tim Hall,OAK,23,1.4,120,5.2,7.5,0
Kenny Bynum,SD,30,2.3,97,3.2,7.5,0
Robert Green,MIN,6,2.0,22,3.7,7.3,0
William Henderson,GB,31,1.9,113,3.6,7.1,0
Derrick Cullors,NE,22,1.5,101,4.6,6.7,0
Brian Mitchell,WAS,23,1.4,107,4.7,6.7,1
Larry Bowie,WAS,28,1.9,100,3.6,6.7,2
Erric Pegram,NYG,19,1.7,72,3.8,6.5,1
Amp Lee,STL,28,1.8,104,3.7,6.5,0
Chuck Levy,SF,16,1.1,90,5.6,6.4,0
Lamont Warren,IND,28,2.2,80,2.9,6.2,2
Eric Bieniemy,CIN,21,1.3,97,4.6,6.1,1
Ronnie Harmon,CHI,2,2.0,6,3.0,6.0,0
Kevin Turner,PHI,18,1.1,96,5.3,6.0,0
LeShon Johnson,ARI,23,1.6,81,3.5,5.8,0
Craig Heyward,STL,34,2.1,84,2.5,5.2,1
Kevin Bouie,ARI,11,2.2,26,2.4,5.2,0
Harvey Williams,OAK,18,1.3,70,3.9,5.0,3
Harold Green,ATL,36,2.2,78,2.2,4.9,1
Aaron Craver,SD,20,1.3,71,3.6,4.7,0
Marrio Grier,NE,33,2.1,75,2.3,4.7,1
Michael Hicks,CHI,4,1.3,14,3.5,4.7,0
Richie Anderson,NYJ,21,1.3,70,3.3,4.4,0
Moe Williams,MIN,22,1.6,59,2.7,4.2,1
Carwell Gardner,SD,7,1.4,20,2.9,4.0,0
Jerald Sowell,NYJ,7,0.8,35,5.0,3.9,0
Dave Meggett,NE,20,1.2,60,3.0,3.8,1
Bernie Parmalee,MIA,18,1.1,59,3.3,3.7,0
Tony Carter,CHI,9,0.6,56,6.2,3.5,0
Fred McAfee,PIT,13,0.9,41,3.2,2.9,0
David Thompson,STL,16,1.5,30,1.9,2.7,1
Derrick Fenner,OAK,7,0.8,24,3.4,2.7,0
Howard Griffith,DEN,9,0.6,34,3.8,2.3,0
David Palmer,MIN,11,0.7,36,3.3,2.2,1
Fred McCrary,NO,8,1.1,15,1.9,2.1,0
Brian Milne,CIN,13,0.8,32,2.5,2.0,2
Ray Nealy,MIA,1,1.0,2,2.0,2.0,0
Duce Staley,PHI,7,0.4,29,4.1,1.8,0
Lorenzo Neal,NYJ,10,0.6,28,2.8,1.8,0
Keith Byars,NE,11,0.7,24,2.2,1.5,0
Joe Aska,OAK,12,1.7,10,0.8,1.4,0
Ty Hallock,JAC,4,0.3,21,5.3,1.4,0
Herschel Walker,DAL,6,0.4,20,3.3,1.2,0
Stanley Pritchett,MIA,3,0.5,7,2.3,1.2,0
Marc Edwards,SF,5,0.3,17,3.4,1.1,0
Eric Lane,NYG,5,0.3,13,2.6,0.9,0
Wes Bender,NO,5,0.5,9,1.8,0.8,0
Tony Richardson,KC,2,0.1,11,5.5,0.8,0
Cory Schlesinger,DET,7,0.4,11,1.6,0.7,0
Jon Witman,PIT,5,0.3,11,2.2,0.7,0
Jerry Ellison,TB,2,0.1,10,5.0,0.6,0
Sam Gash,NE,6,0.4,10,1.7,0.6,0
Detron Smith,DEN,4,0.2,10,2.5,0.6,0
Tim Lester,PIT,2,0.1,9,4.5,0.6,0
Bob Christian,ATL,7,0.4,8,1.1,0.5,0
Jerone Davison,OAK,2,0.2,4,2.0,0.5,0
Daryl Johnston,DAL,2,0.3,3,1.5,0.5,0
Roosevelt Potts,MIA,1,0.2,3,3.0,0.5,0
Mack Strong,SEA,4,0.2,8,2.0,0.5,0
Marc Logan,WAS,4,0.3,5,1.3,0.3,0
Cedric Smith,ARI,4,0.2,5,1.3,0.3,1
Daimon Shelton,JAC,6,0.5,4,0.7,0.3,0
Chad Levitt,OAK,2,0.2,3,1.5,0.3,0
Randy Jordan,JAC,1,0.1,2,2.0,0.3,0
Tyrone Hughes,CHI,1,0.1,3,3.0,0.2,0
Kenyon Cotton,BAL,2,0.1,2,1.0,0.1,1
Winslow Oliver,CAR,1,0.2,0,0.0,0.0,0
Scottie Graham,CIN,1,0.2,-1,-1.0,-0.2,0
