Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Eric Dickerson,RAM,379,23.7,2105,5.6,131.6,14
Walter Payton,CHI,381,23.8,1684,4.4,105.2,11
Gerald Riggs,ATL,353,23.5,1486,4.2,99.1,13
James Wilder,TB,407,25.4,1544,3.8,96.5,13
Freeman McNeil,NYJ,229,19.1,1070,4.7,89.2,5
John Riggins,WAS,327,23.4,1239,3.8,88.5,14
Billy Sims,DET,130,16.2,687,5.3,85.9,5
Wendell Tyler,SF,246,15.4,1262,5.1,78.9,7
Ottis Anderson,STL,289,19.3,1174,4.1,78.3,6
Tony Dorsett,DAL,302,18.9,1189,3.9,74.3,6
Stanley Wilson,CIN,17,17.0,74,4.4,74.0,0
Earnest Jackson,SD,296,18.5,1179,4.0,73.7,8
Marcus Allen,RAI,275,17.2,1168,4.2,73.0,13
Sammy Winder,DEN,296,18.5,1153,3.9,72.1,4
Greg Bell,BUF,262,16.4,1100,4.2,68.8,7
George Rogers,NO,239,14.9,914,3.8,57.1,2
Frank Pollard,PIT,213,14.2,851,4.0,56.7,6
Larry Moriarty,HOU,189,13.5,785,4.2,56.1,6
Eddie Lee Ivery,GB,99,9.9,552,5.6,55.2,6
Craig James,NE,160,10.7,790,4.9,52.7,1
Curtis Dickey,IND,131,13.1,523,4.0,52.3,3
Chuck Muncie,SD,14,14.0,51,3.6,51.0,0
Mike Pruitt,CLE,163,16.3,506,3.1,50.6,6
Rob Carpenter,NYG,250,15.6,795,3.2,49.7,7
Wilbert Montgomery,PHI,201,12.6,789,3.9,49.3,2
Alfred Anderson,MIN,201,12.6,773,3.8,48.3,2
Randy McMillan,IND,163,10.2,705,4.3,44.1,5
Hokie Gajan,NO,102,7.3,615,6.0,43.9,5
Walter Abercrombie,PIT,145,10.4,610,4.2,43.6,1
Herman Heard,KC,165,10.3,684,4.1,42.8,4
Boyce Green,CLE,202,12.6,673,3.3,42.1,0
Johnny Hector,NYJ,124,9.5,531,4.3,40.8,1
Roger Craig,SF,155,9.7,649,4.2,40.6,7
Curt Warner,SEA,10,10.0,40,4.0,40.0,0
Larry Kinnebrew,CIN,154,9.6,623,4.0,38.9,9
Joe Carter,MIA,100,7.7,495,5.0,38.1,1
Woody Bennett,MIA,144,9.0,606,4.2,37.9,7
Andra Franklin,MIA,20,10.0,74,3.7,37.0,0
Gerry Ellis,GB,123,7.7,581,4.7,36.3,4
Tony Nathan,MIA,118,7.4,558,4.7,34.9,1
Mosi Tatupu,NE,133,8.3,553,4.2,34.6,4
Tony Collins,NE,138,8.6,550,4.0,34.4,5
Jessie Clark,GB,87,7.9,375,4.3,34.1,4
Ted Brown,MIN,98,7.5,442,4.5,34.0,3
James Jones,DET,137,8.6,532,3.9,33.2,3
Joe Morris,NYG,133,8.3,510,3.8,31.9,4
Charles Alexander,CIN,132,8.2,479,3.6,29.9,2
Joe Washington,WAS,56,8.0,192,3.4,27.4,1
Stump Mitchell,STL,81,5.1,434,5.4,27.1,9
Darrin Nelson,MIN,80,5.3,406,5.1,27.1,3
