Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Shaun Alexander,SEA,370,23.1,1880,5.1,117.5,27
Tiki Barber,NYG,357,22.3,1860,5.2,116.2,9
Larry Johnson,KC,336,21.0,1750,5.2,109.4,20
Edgerrin James,IND,360,24.0,1506,4.2,100.4,13
Clinton Portis,WAS,352,22.0,1516,4.3,94.8,11
LaDainian Tomlinson,SD,339,21.2,1462,4.3,91.4,18
Rudi Johnson,CIN,337,21.1,1458,4.3,91.1,12
Thomas Jones,CHI,314,20.9,1335,4.3,89.0,9
Domanick Williams,HOU,230,20.9,976,4.2,88.7,2
Warrick Dunn,ATL,280,17.5,1416,5.1,88.5,3
Cadillac Williams,TB,290,20.7,1178,4.1,84.1,6
Willie Parker,PIT,255,17.0,1202,4.7,80.1,4
Willis McGahee,BUF,325,20.3,1247,3.8,77.9,5
Reuben Droughns,CLE,309,19.3,1232,4.0,77.0,2
Julius Jones,DAL,257,19.8,993,3.9,76.4,5
LaMont Jordan,OAK,272,19.4,1025,3.8,73.2,9
Samkon Gado,GB,143,17.9,582,4.1,72.8,6
Fred Taylor,JAC,194,17.6,787,4.1,71.5,3
Steven Jackson,STL,254,16.9,1046,4.1,69.7,8
Mike Anderson,DEN,239,15.9,1014,4.2,67.6,12
Deuce McAllister,NO,93,18.6,335,3.6,67.0,3
Priest Holmes,KC,119,17.0,451,3.8,64.4,6
Ricky Williams,MIA,168,14.0,743,4.4,61.9,6
Tatum Bell,DEN,173,11.5,921,5.3,61.4,8
Curtis Martin,NYJ,220,18.3,735,3.3,61.2,5
Corey Dillon,NE,209,17.4,733,3.5,61.1,12
Ronnie Brown,MIA,207,13.8,907,4.4,60.5,4
Jamal Lewis,BAL,269,17.9,906,3.4,60.4,3
DeShaun Foster,CAR,205,13.7,879,4.3,58.6,2
Chris Brown,TEN,224,14.9,851,3.8,56.7,5
Brian Westbrook,PHI,156,13.0,617,4.0,51.4,3
Kevin Jones,DET,186,14.3,664,3.6,51.1,5
Ahman Green,GB,77,15.4,255,3.3,51.0,0
Kevan Barlow,SF,176,14.7,581,3.3,48.4,3
Frank Gore,SF,127,9.1,608,4.8,43.4,3
Stephen Davis,CAR,180,13.8,549,3.1,42.2,12
Marion Barber,DAL,138,10.6,538,3.9,41.4,5
Mewelde Moore,MIN,155,9.7,662,4.3,41.4,1
Antowain Smith,NO,166,10.4,659,4.0,41.2,3
Greg Jones,JAC,151,10.8,575,3.8,41.1,4
Ryan Moats,PHI,55,7.9,278,5.1,39.7,3
Bruce Perry,PHI,16,8.0,74,4.6,37.0,0
Travis Henry,TEN,88,8.8,335,3.8,33.5,0
Aveion Cason,STL,10,5.0,65,6.5,32.5,1
Chester Taylor,BAL,117,7.8,487,4.2,32.5,0
Heath Evans,NE,51,8.5,192,3.8,32.0,0
Jerome Bettis,PIT,110,9.2,368,3.3,30.7,9
Cedric Benson,CHI,67,7.4,272,4.1,30.2,0
Marcel Shipp,ARI,157,10.5,451,2.9,30.1,0
Duce Staley,PIT,38,7.6,148,3.9,29.6,1
Michael Bennett,MIN,126,7.9,473,3.8,29.6,3
Ladell Betts,WAS,89,7.4,338,3.8,28.2,1
Michael Pittman,TB,70,4.4,436,6.2,27.2,1
T.J. Duckett,ATL,121,8.6,380,3.1,27.1,8
Ron Dayne,DEN,53,5.3,270,5.1,27.0,1
Cedric Houston,NYJ,81,6.8,302,3.7,25.2,2
J.J. Arrington,ARI,112,7.5,370,3.3,24.7,2
Adrian Peterson,CHI,76,4.8,391,5.1,24.4,2
Noah Herron,GB,45,9.0,121,2.7,24.2,2
Aaron Stecker,NO,95,6.3,363,3.8,24.2,0
Maurice Hicks,SF,59,4.2,308,5.2,22.0,3
Artose Pinner,DET,106,6.6,349,3.3,21.8,3
Jonathan Wells,HOU,90,6.0,325,3.6,21.7,4
Najeh Davenport,GB,30,6.0,105,3.5,21.0,2
Michael Turner,SD,57,3.6,335,5.9,20.9,3
Patrick Pass,NE,54,4.5,245,4.5,20.4,3
Chris Perry,CIN,61,4.4,279,4.6,19.9,0
Verron Haynes,PIT,74,5.3,274,3.7,19.6,3
Shawn Bryson,DET,64,4.0,306,4.8,19.1,1
Marshall Faulk,STL,65,4.1,292,4.5,18.2,0
Kevin Faulk,NE,51,6.4,145,2.8,18.1,0
Maurice Morris,SEA,71,4.4,288,4.1,18.0,1
LaBrandon Toefield,JAC,36,4.0,142,3.9,15.8,4
Vernand Morency,HOU,46,3.8,184,4.0,15.3,2
Zack Crockett,OAK,60,3.8,208,3.5,13.0,1
Lamar Gordon,PHI,54,3.9,182,3.4,13.0,1
Rock Cartwright,WAS,27,1.7,199,7.4,12.4,2
Tony Fisher,GB,60,4.3,173,2.9,12.4,1
Tyson Thompson,DAL,46,3.1,182,4.0,12.1,0
Damien Nash,TEN,6,2.0,32,5.3,10.7,0
Shaud Williams,BUF,45,2.8,161,3.6,10.1,0
William Green,CLE,20,2.5,78,3.9,9.8,0
