Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Joe Cribbs,BUF,134,19.1,633,4.7,90.4,3
George Rogers,NO,122,20.3,535,4.4,89.2,3
Freeman McNeil,NYJ,151,16.8,786,5.2,87.3,6
Tony Dorsett,DAL,177,19.7,745,4.2,82.8,5
Andra Franklin,MIA,177,19.7,701,4.0,77.9,7
Marcus Allen,RAI,160,17.8,697,4.4,77.4,11
Ottis Anderson,STL,145,18.1,587,4.0,73.4,3
Billy Sims,DET,172,19.1,639,3.7,71.0,4
Tony Collins,NE,164,18.2,632,3.9,70.2,1
John Riggins,WAS,177,22.1,553,3.1,69.1,3
Pete Johnson,CIN,156,17.3,622,4.0,69.1,7
Franco Harris,PIT,140,15.6,604,4.3,67.1,2
Walter Payton,CHI,148,16.4,596,4.0,66.2,1
Ted Brown,MIN,120,15.0,515,4.3,64.4,1
Wilbert Montgomery,PHI,114,14.2,515,4.5,64.4,7
William Andrews,ATL,139,15.4,573,4.1,63.7,5
Chuck Muncie,SD,138,15.3,569,4.1,63.2,8
Wendell Tyler,RAM,137,15.2,564,4.1,62.7,9
Earl Campbell,HOU,157,17.4,538,3.4,59.8,2
Mike Pruitt,CLE,143,15.9,516,3.6,57.3,3
Wayne Wilson,NO,103,12.9,413,4.0,51.6,3
Eddie Lee Ivery,GB,127,14.1,453,3.6,50.3,9
Butch Woolfolk,NYG,112,12.4,439,3.9,48.8,2
James Brooks,SD,87,9.7,430,4.9,47.8,6
Joe Delaney,KC,95,11.9,380,4.0,47.5,0
Roosevelt Leaks,BUF,97,10.8,405,4.2,45.0,5
Mark van Eeghen,NE,82,9.1,386,4.7,42.9,0
Rob Carpenter,NYG,67,13.4,204,3.0,40.8,1
Gerald Willhite,DEN,70,7.8,347,5.0,38.6,2
James Wilder,TB,83,9.2,324,3.9,36.0,3
Vince Williams,SF,20,10.0,68,3.4,34.0,0
Randy McMillan,BAL,101,11.2,305,3.0,33.9,1
Gerald Riggs,ATL,78,8.7,299,3.8,33.2,5
Sammy Winder,DEN,67,8.4,259,3.9,32.4,1
Jeff Moore,SF,85,9.4,281,3.3,31.2,4
Rick Parros,DEN,77,8.6,277,3.6,30.8,1
Wayne Morris,STL,84,9.3,274,3.3,30.4,4
James Owens,TB,76,9.5,238,3.1,29.8,0
Mike Guman,RAM,69,7.7,266,3.9,29.6,2
Kenny King,RAI,69,7.7,264,3.8,29.3,2
Tony Nathan,MIA,66,8.2,233,3.5,29.1,1
Curtis Dickey,BAL,66,8.2,232,3.5,29.0,1
Charles White,CLE,69,7.7,259,3.8,28.8,3
Zachary Dixon,BAL,58,6.4,249,4.3,27.7,1
Joe Washington,WAS,44,6.3,190,4.3,27.1,1
Billy Jackson,KC,86,9.6,243,2.8,27.0,3
Ron Springs,DAL,59,6.6,243,4.1,27.0,2
Frank Pollard,PIT,62,6.9,238,3.8,26.4,2
Perry Harrington,PHI,56,6.2,231,4.1,25.7,1
Mel Carver,TB,70,7.8,229,3.3,25.4,1
Gerry Ellis,GB,62,6.9,228,3.7,25.3,1
Charles Alexander,CIN,64,7.1,207,3.2,23.0,1
Matt Suhey,CHI,70,7.8,206,2.9,22.9,3
Bill Ring,SF,48,6.0,183,3.8,22.9,1
Sherman Smith,SEA,63,7.0,202,3.2,22.4,0
Dan Doornink,SEA,45,5.6,178,4.0,22.2,0
Mike Meade,GB,14,7.0,42,3.0,21.0,0
Stump Mitchell,STL,39,4.3,189,4.8,21.0,1
Curtis Brown,BUF,41,4.6,187,4.6,20.8,0
Mike Augustyniak,NYJ,50,5.6,178,3.6,19.8,4
Jimmy Rogers,NO,60,6.7,178,3.0,19.8,2
Del Rodgers,GB,46,5.1,175,3.8,19.4,1
Darrin Nelson,MIN,44,6.3,136,3.1,19.4,0
Lynn Cain,ATL,54,6.0,173,3.2,19.2,1
Jim Hadnot,KC,46,5.1,172,3.7,19.1,0
Clarence Harmon,WAS,38,4.2,168,4.4,18.7,1
Mosi Tatupu,NE,30,3.3,168,5.6,18.7,0
Cleveland Franklin,BAL,43,4.8,152,3.5,16.9,0
Walter Abercrombie,PIT,21,3.5,100,4.8,16.7,2
Theotis Brown,SEA,53,5.9,141,2.7,15.7,2
Dexter Bussey,DET,48,5.3,136,2.8,15.1,0
Woody Bennett,MIA,9,9.0,15,1.7,15.0,0
Tony Galbreath,MIN,39,4.9,116,3.0,14.5,1
Scott Dierking,NYJ,38,4.2,130,3.4,14.4,1
Bruce Harper,NYJ,20,2.2,125,6.3,13.9,0
Robert Weathers,NE,24,4.0,83,3.5,13.8,1
Cliff Chatman,NYG,22,3.7,80,3.6,13.3,2
Dwayne Crutchfield,NYJ,22,3.7,78,3.5,13.0,1
Cleo Miller,CLE,16,3.2,61,3.8,12.2,0
Bo Robinson,ATL,19,2.1,108,5.7,12.0,0
David Hughes,SEA,30,3.3,106,3.5,11.8,0
Walt Easley,SF,5,5.0,11,2.2,11.0,0
Tommy Vigorito,MIA,19,2.1,99,5.2,11.0,1
Timmy Newsome,DAL,15,1.7,98,6.5,10.9,1
Toussaint Tyler,NO,10,5.0,21,2.1,10.5,0
Russell Davis,PIT,24,3.4,72,3.0,10.3,0
Dave Preston,DEN,19,2.4,81,4.3,10.1,0
Jewerl Thomas,RAM,16,2.0,80,5.0,10.0,0
Joe Morris,NYG,15,3.0,48,3.2,9.6,1
John Cappelletti,SD,22,2.4,82,3.7,9.1,0
Robert Newhouse,DAL,14,1.6,79,5.6,8.8,1
Earl Cooper,SF,24,2.7,77,3.2,8.6,0
Hokie Gajan,NO,19,2.1,77,4.1,8.6,0
Horace Ivory,SEA,13,2.2,51,3.9,8.5,1
Stan Edwards,HOU,15,2.1,58,3.9,8.3,0
Sidney Thornton,PIT,6,1.5,33,5.5,8.2,1
Booker Moore,BUF,16,3.2,38,2.4,7.6,0
Greg Hawthorne,PIT,15,1.7,68,4.5,7.6,0
Art Whittington,BUF,7,3.5,15,2.1,7.5,0
Horace King,DET,18,2.0,67,3.7,7.4,0
Leon Perry,NYG,3,1.5,14,4.7,7.0,0
Curtis Bledsoe,KC,10,3.3,20,2.0,6.7,0
Frank Hawkins,RAI,27,3.0,54,2.0,6.0,2
Wilbur Jackson,WAS,4,4.0,6,1.5,6.0,0
Eddie Hill,MIA,13,1.4,51,3.9,5.7,0
Leroy Harris,PHI,17,2.4,39,2.3,5.6,2
Rickey Young,MIN,16,1.8,49,3.1,5.4,1
Willie McClendon,CHI,17,1.9,47,2.8,5.2,0
Donnie Craft,HOU,18,2.0,42,2.3,4.7,3
Archie Griffin,CIN,12,1.3,39,3.3,4.3,1
Marion Barber,NYJ,8,1.3,24,3.0,4.0,0
Nathan Poole,DEN,7,0.8,36,5.1,4.0,0
Otis Wonsley,WAS,11,1.2,36,3.3,4.0,0
Roland Hooks,BUF,5,0.8,23,4.6,3.8,0
Sam Cunningham,NE,9,1.5,21,2.3,3.5,0
Jim Jensen,GB,9,1.1,28,3.1,3.5,0
Rich Diana,MIA,8,0.9,31,3.9,3.4,0
Louie Giammona,PHI,11,1.2,29,2.6,3.2,1
Billy Taylor,RAI,4,4.0,3,0.8,3.0,0
Rick Kane,DET,7,1.2,17,2.4,2.8,0
George Peoples,DAL,7,0.9,22,3.1,2.8,0
Barry Redden,RAM,8,0.9,24,3.0,2.7,0
Adger Armstrong,HOU,8,1.3,15,1.9,2.5,0
Vagas Ferguson,NE,1,0.5,5,5.0,2.5,0
Greg Pruitt,RAI,4,0.4,22,5.5,2.4,0
Dennis Gentry,CHI,4,0.4,21,5.3,2.3,0
Harlan Huckleby,GB,4,0.4,19,4.8,2.1,0
Willard Harrell,STL,4,0.6,14,3.5,2.0,0
Chester Willis,RAI,6,0.8,15,2.5,1.9,0
Jack Holmes,NO,2,0.4,8,4.0,1.6,0
Dino Hall,CLE,2,0.2,14,7.0,1.6,0
Ricky Bell,SD,2,0.5,6,3.0,1.5,0
Johnny Davis,CLE,4,2.0,3,0.8,1.5,1
Larry Heater,NYG,3,0.3,13,4.3,1.4,0
Del Thompson,KC,4,0.7,7,1.8,1.2,0
Jim Jodat,SD,3,0.4,7,2.3,1.0,0
Ray Strong,ATL,4,0.4,9,2.3,1.0,0
Roland Harper,CHI,3,0.4,7,2.3,0.9,0
Amos Lawrence,SF,5,0.6,7,1.4,0.9,0
Nick Giaquinto,WAS,1,0.1,5,5.0,0.7,0
Calvin Thomas,CHI,5,0.8,4,0.8,0.7,0
Leon Bright,NYG,1,0.1,5,5.0,0.6,0
Johnnie Wright,BAL,1,0.1,3,3.0,0.4,0
Robert Alexander,RAM,1,0.1,3,3.0,0.3,0
Billy Campfield,PHI,1,0.2,2,2.0,0.3,0
Michael Morton,TB,2,0.2,3,1.5,0.3,0
Gary Allen,HOU,2,0.3,2,1.0,0.3,0
Jarvis Redwine,MIN,2,0.3,2,1.0,0.3,0
Rob Lytle,DEN,2,0.2,2,1.0,0.2,0
Rodney Tate,CIN,2,0.2,2,1.0,0.2,0
Clark Gaines,KC,1,0.1,0,0.0,0.0,0
