Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
LaDainian Tomlinson,SD,348,21.8,1815,5.2,113.4,28
Larry Johnson,KC,416,26.0,1789,4.3,111.8,17
Frank Gore,SF,312,19.5,1695,5.4,105.9,8
Tiki Barber,NYG,327,20.4,1662,5.1,103.9,5
Steven Jackson,STL,346,21.6,1528,4.4,95.5,13
Willie Parker,PIT,337,21.1,1494,4.4,93.4,13
Shaun Alexander,SEA,252,25.2,896,3.6,89.6,7
Travis Henry,TEN,270,19.3,1211,4.5,86.5,7
Rudi Johnson,CIN,341,21.3,1309,3.8,81.8,12
Brian Westbrook,PHI,240,16.0,1217,5.1,81.1,7
Chester Taylor,MIN,303,20.2,1216,4.0,81.1,6
Tatum Bell,DEN,233,17.9,1025,4.4,78.8,2
Ronnie Brown,MIA,241,18.5,1008,4.2,77.5,5
Fred Taylor,JAC,231,15.4,1146,5.0,76.4,5
Ahman Green,GB,266,19.0,1059,4.0,75.6,5
Thomas Jones,CHI,296,18.5,1210,4.1,75.6,6
Edgerrin James,ARI,337,21.1,1159,3.4,72.4,6
Ladell Betts,WAS,245,15.3,1154,4.7,72.1,4
Warrick Dunn,ATL,286,17.9,1140,4.0,71.2,4
Jamal Lewis,BAL,314,19.6,1132,3.6,70.8,9
Willis McGahee,BUF,259,18.5,990,3.8,70.7,6
Deuce McAllister,NO,244,16.3,1057,4.3,70.5,10
Julius Jones,DAL,267,16.7,1084,4.1,67.8,4
Joseph Addai,IND,226,14.1,1081,4.8,67.6,7
Clinton Portis,WAS,127,15.9,523,4.1,65.4,7
DeShaun Foster,CAR,227,16.2,897,4.0,64.1,3
Maurice Jones-Drew,JAC,166,10.4,941,5.7,58.8,13
Kevin Jones,DET,181,15.1,689,3.8,57.4,6
Cadillac Williams,TB,225,16.1,798,3.5,57.0,1
Ron Dayne,HOU,151,13.7,612,4.1,55.6,5
Reuben Droughns,CLE,220,15.7,758,3.4,54.1,4
Laurence Maroney,NE,175,12.5,745,4.3,53.2,6
Corey Dillon,NE,199,12.4,812,4.1,50.8,13
LaMont Jordan,OAK,114,12.7,434,3.8,48.2,2
Cedric Houston,NYJ,113,14.1,374,3.3,46.8,5
Jerious Norwood,ATL,99,7.1,633,6.4,45.2,2
Mike Bell,DEN,157,10.5,677,4.3,45.1,8
Cedric Benson,CHI,157,10.5,647,4.1,43.1,6
Justin Fargas,OAK,178,11.1,659,3.7,41.2,1
Marion Barber,DAL,135,8.4,654,4.8,40.9,14
Leon Washington,NYJ,151,9.4,650,4.3,40.6,4
Dominic Rhodes,IND,187,11.7,641,3.4,40.1,5
Michael Turner,SD,80,6.2,502,6.3,38.6,2
DeAngelo Williams,CAR,121,9.3,501,4.1,38.5,1
Maurice Morris,SEA,161,10.1,604,3.8,37.8,0
Reggie Bush,NO,155,9.7,565,3.6,35.3,6
Wali Lundy,HOU,124,8.9,476,3.8,34.0,4
Sammy Morris,MIA,92,7.7,400,4.3,33.3,1
Vernand Morency,GB,91,7.0,421,4.6,32.4,2
Chris Brown,TEN,41,8.2,156,3.8,31.2,0
Kevan Barlow,NYJ,131,10.9,370,2.8,30.8,6
Chris Taylor,HOU,28,7.0,123,4.4,30.8,1
Jamaal Branch,NO,10,10.0,29,2.9,29.0,0
Brandon Jacobs,NYG,96,6.4,423,4.4,28.2,9
Samkon Gado,HOU,54,6.8,217,4.0,27.1,1
Anthony Thomas,BUF,107,6.7,378,3.5,23.6,2
Damien Nash,DEN,18,6.0,66,3.7,22.0,0
Correll Buckhalter,PHI,83,5.2,345,4.2,21.6,2
Ciatrick Fason,MIN,18,3.6,99,5.5,19.8,1
LenDale White,TEN,61,4.7,244,4.0,18.8,0
Michael Bennett,KC,36,3.3,200,5.6,18.2,0
Najeh Davenport,PIT,60,4.6,221,3.7,17.0,1
Artose Pinner,MIN,43,3.6,190,4.4,15.8,3
Arlen Harris,DET,49,4.9,158,3.2,15.8,1
Aveion Cason,DET,24,4.0,94,3.9,15.7,0
Michael Pittman,TB,50,3.1,245,4.9,15.3,1
Jason Wright,CLE,62,4.8,189,3.0,14.5,0
T.J. Duckett,WAS,38,3.8,132,3.5,13.2,2
Musa Smith,BAL,36,3.0,153,4.3,12.8,0
Stephen Davis,STL,40,2.7,177,4.4,11.8,0
Mike Anderson,BAL,39,2.4,183,4.7,11.4,1
Verron Haynes,PIT,15,2.1,78,5.2,11.1,0
Derrick Blaylock,NYJ,25,6.2,44,1.8,11.0,0
Mike Alstott,TB,60,3.8,171,2.9,10.7,3
Zack Crockett,OAK,39,2.4,163,4.2,10.2,0
Chris Perry,CIN,10,1.7,57,5.7,9.5,0
Noah Herron,GB,37,2.3,150,4.1,9.4,1
Mack Strong,SEA,33,2.1,149,4.5,9.3,1
Keylon Kincade,DAL,4,4.0,9,2.3,9.0,0
Lorenzo Neal,SD,29,1.8,140,4.8,8.8,1
Ryan Moats,PHI,22,2.8,69,3.1,8.6,0
Kenny Watson,CIN,25,1.6,138,5.5,8.6,1
Andrew Pinnock,SD,4,1.3,25,6.3,8.3,0
Kevin Faulk,NE,25,1.7,123,4.9,8.2,1
Mewelde Moore,MIN,24,1.5,131,5.5,8.2,0
Heath Evans,NE,27,1.7,117,4.3,7.3,0
Cecil Sapp,DEN,10,0.9,80,8.0,7.3,0
Michael Robinson,SF,38,2.4,116,3.1,7.2,2
Patrick Pass,NE,6,2.0,21,3.5,7.0,0
Alvin Pearman,JAC,19,1.5,89,4.7,6.8,1
Justin Griffith,ATL,19,1.2,106,5.6,6.6,1
Lee Suggs,MIA,6,1.5,26,4.3,6.5,0
Jerome Harrison,CLE,20,2.0,60,3.0,6.0,0
LaBrandon Toefield,JAC,10,2.5,22,2.2,5.5,0
Maurice Hicks,SF,29,1.8,82,2.8,5.1,0
Nick Goings,CAR,11,1.0,52,4.7,4.7,0
Travis Minor,MIA,19,1.2,74,3.9,4.6,0
Brad Hoover,CAR,22,1.4,73,3.3,4.6,1
Cedric Cobbs,DEN,3,1.5,9,3.0,4.5,0
ReShard Lee,OAK,21,1.3,72,3.4,4.5,2
Tyson Thompson,DAL,13,1.9,30,2.3,4.3,1
Ronnie Cruz,KC,5,1.0,19,3.8,3.8,0
Earnest Graham,TB,11,0.7,59,5.4,3.7,0
Jeremi Johnson,CIN,15,0.9,56,3.7,3.5,1
Mike Sellers,WAS,12,0.8,51,4.3,3.2,0
Ovie Mughelli,BAL,12,0.8,50,4.2,3.1,0
Fred McAfee,NO,3,0.8,12,4.0,3.0,1
Marcel Shipp,ARI,17,1.1,41,2.4,2.7,4
Brian Calhoun,DET,7,1.0,19,2.7,2.7,0
Obafemi Ayanbadejo,ARI,9,0.6,37,4.1,2.6,0
Adrian Peterson,CHI,10,0.6,41,4.1,2.6,2
Eric Shelton,CAR,8,0.9,23,2.9,2.6,0
Mike Karney,NO,11,0.7,33,3.0,2.2,1
Kyle Johnson,DEN,5,0.4,30,6.0,2.1,0
Lamar Gordon,DET,1,1.0,2,2.0,2.0,0
Marlion Jackson,ATL,1,1.0,2,2.0,2.0,0
John Kuhn,PIT,2,0.2,18,9.0,2.0,0
Jameel Cook,HOU,3,0.3,18,6.0,1.6,0
Dee Brown,KC,10,0.7,24,2.4,1.6,0
Ahmard Hall,TEN,7,0.5,21,3.0,1.5,0
Reno Mahe,PHI,4,0.3,18,4.5,1.5,0
Lousaka Polite,DAL,7,0.6,18,2.6,1.5,0
Chad Morton,NYG,1,0.1,22,22.0,1.5,0
Tony Richardson,MIN,5,0.6,12,2.4,1.3,0
Kay-Jay Harris,STL,3,0.4,9,3.0,1.3,0
Jason McKie,CHI,8,0.5,18,2.3,1.2,0
J.J. Arrington,ARI,14,0.9,19,1.4,1.2,0
Derrick Ross,KC,3,0.4,8,2.7,1.1,0
Tony Fisher,STL,6,0.8,9,1.5,1.1,0
Rock Cartwright,WAS,5,0.3,15,3.0,0.9,0
Aaron Stecker,NO,4,0.3,11,2.8,0.9,0
Jim Finn,NYG,2,0.1,14,7.0,0.9,0
Terrelle Smith,CLE,8,0.5,14,1.8,0.9,0
B.J. Askew,NYJ,6,0.5,11,1.8,0.8,0
Marquis Weeks,SEA,3,0.3,8,2.7,0.8,0
Quincy Wilson,CIN,2,0.7,2,1.0,0.7,0
Moran Norris,SF,2,0.1,8,4.0,0.6,0
Thomas Tapeh,PHI,5,0.3,9,1.8,0.6,0
A.J. Schable,ARI,1,0.1,5,5.0,0.5,0
Shaud Williams,BUF,2,0.4,2,1.0,0.4,0
Dan Kreider,PIT,1,0.1,5,5.0,0.3,0
Derrick Wimbush,JAC,1,0.1,3,3.0,0.2,0
Shawn Bryson,DET,2,0.3,1,0.5,0.2,0
Madison Hedgecock,STL,1,0.1,2,2.0,0.1,0
Lawrence Vickers,CLE,3,0.2,2,0.7,0.1,0
