Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
LeSean McCoy,PHI,314,19.6,1607,5.1,100.4,9
Adrian Peterson,MIN,279,19.9,1266,4.5,90.4,10
Jamaal Charles,KC,259,17.3,1287,5.0,85.8,12
Matt Forte,CHI,289,18.1,1339,4.6,83.7,9
DeMarco Murray,DAL,217,15.5,1121,5.2,80.1,9
Alfred Morris,WAS,276,17.2,1275,4.6,79.7,7
Marshawn Lynch,SEA,301,18.8,1257,4.2,78.6,12
Eddie Lacy,GB,284,18.9,1178,4.1,78.5,11
Ryan Mathews,SD,285,17.8,1255,4.4,78.4,6
Doug Martin,TB,127,21.2,456,3.6,76.0,1
Reggie Bush,DET,223,15.9,1006,4.5,71.9,4
Frank Gore,SF,276,17.2,1128,4.1,70.5,9
Zac Stacy,STL,250,17.9,973,3.9,69.5,7
Arian Foster,HOU,121,15.1,542,4.5,67.8,1
Chris Johnson,TEN,279,17.4,1077,3.9,67.3,6
Le'Veon Bell,PIT,244,18.8,860,3.5,66.2,8
Knowshon Moreno,DEN,241,15.1,1038,4.3,64.9,10
Vick Ballard,IND,13,13.0,63,4.8,63.0,0
C.J. Spiller,BUF,202,13.5,933,4.6,62.2,2
Ahmad Bradshaw,IND,41,13.7,186,4.5,62.0,2
Andre Brown,NYG,139,17.4,492,3.5,61.5,3
Bobby Rainey,TB,137,15.2,532,3.9,59.1,5
Edwin Baker,CLE,43,14.3,171,4.0,57.0,2
DeAngelo Williams,CAR,201,13.4,843,4.2,56.2,3
Fred Jackson,BUF,206,12.9,890,4.3,55.6,9
Chris Ivory,NYJ,182,12.1,833,4.6,55.5,3
Stevan Ridley,NE,178,12.7,773,4.3,55.2,7
Ben Tate,HOU,181,12.9,771,4.3,55.1,4
Maurice Jones-Drew,JAC,234,15.6,803,3.4,53.5,5
Rashad Jennings,OAK,163,10.9,733,4.5,48.9,6
LeGarrette Blount,NE,153,9.6,772,5.0,48.2,7
BenJarvus Green-Ellis,CIN,220,13.8,756,3.4,47.2,7
Rashard Mendenhall,ARI,217,14.5,687,3.2,45.8,8
Steven Jackson,ATL,157,13.1,543,3.5,45.2,6
Lamar Miller,MIA,177,11.1,709,4.0,44.3,2
Ray Rice,BAL,214,14.3,660,3.1,44.0,4
Bilal Powell,NYJ,176,11.0,697,4.0,43.6,1
Andre Ellington,ARI,118,7.9,652,5.5,43.5,3
Giovani Bernard,CIN,170,10.6,695,4.1,43.4,5
Joique Bell,DET,166,10.4,650,3.9,40.6,8
James Starks,GB,89,6.8,493,5.5,37.9,3
Darren McFadden,OAK,114,11.4,379,3.3,37.9,5
Mike James,TB,60,7.5,295,4.9,36.9,0
Jonathan Grimes,HOU,21,10.5,73,3.5,36.5,1
Peyton Hillis,NYG,73,10.4,247,3.4,35.3,2
Mark Ingram,NO,78,7.1,386,4.9,35.1,1
Montee Ball,DEN,120,7.5,559,4.7,34.9,4
Pierre Thomas,NO,147,9.2,549,3.7,34.3,2
Brandon Jacobs,NYG,58,8.3,238,4.1,34.0,4
