Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
George Rogers,NO,378,23.6,1674,4.4,104.6,13
Tony Dorsett,DAL,342,21.4,1646,4.8,102.9,4
Billy Sims,DET,296,21.1,1437,4.9,102.6,13
Wilbert Montgomery,PHI,286,19.1,1402,4.9,93.5,8
Ottis Anderson,STL,328,20.5,1376,4.2,86.0,9
Earl Campbell,HOU,361,22.6,1376,3.8,86.0,10
William Andrews,ATL,289,18.1,1301,4.5,81.3,10
Walter Payton,CHI,339,21.2,1222,3.6,76.4,6
Chuck Muncie,SD,251,16.7,1144,4.6,76.3,19
Rob Carpenter,NYG,190,19.0,748,3.9,74.8,5
Joe Delaney,KC,234,15.6,1121,4.8,74.7,3
Joe Cribbs,BUF,257,17.1,1097,4.3,73.1,3
Eddie Lee Ivery,GB,14,14.0,72,5.1,72.0,1
Wendell Tyler,LA,260,17.3,1074,4.1,71.6,12
Mike Pruitt,CLE,247,15.4,1103,4.5,68.9,7
Pete Johnson,CIN,274,17.1,1077,3.9,67.3,12
Ted Brown,MIN,274,17.1,1063,3.9,66.4,6
Joe Washington,WAS,210,15.0,916,4.4,65.4,4
Franco Harris,PIT,242,15.1,987,4.1,61.7,8
Tony Nathan,MIA,147,11.3,782,5.3,60.2,5
Kenny King,OAK,170,12.1,828,4.9,59.1,0
Freeman McNeil,NYJ,137,12.5,623,4.5,56.6,2
Tony Collins,NE,204,12.8,873,4.3,54.6,7
Gerry Ellis,GB,196,12.2,860,4.4,53.8,4
Theotis Brown,SEA,141,14.1,531,3.8,53.1,6
Curtis Dickey,BAL,164,10.9,779,4.8,51.9,7
John Riggins,WAS,195,13.0,714,3.7,47.6,13
Rick Parros,DEN,176,11.0,749,4.3,46.8,2
Andra Franklin,MIA,201,12.6,711,3.5,44.4,7
Frank Pollard,PIT,123,8.8,570,4.6,40.7,2
Jerry Eckwood,TB,172,10.8,651,3.8,40.7,2
Dave Preston,DEN,183,11.4,640,3.5,40.0,3
Ron Springs,DAL,172,10.8,625,3.6,39.1,10
Ted McKnight,KC,54,10.8,195,3.6,39.0,5
Jim Hadnot,KC,140,8.8,603,4.3,37.7,3
