Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Emmitt Smith,DAL,373,23.3,1713,4.6,107.1,18
Barry Foster,PIT,390,24.4,1690,4.3,105.6,11
Thurman Thomas,BUF,312,19.5,1487,4.8,92.9,9
Barry Sanders,DET,312,19.5,1352,4.3,84.5,9
Lorenzo White,HOU,265,16.6,1226,4.6,76.6,7
Terry Allen,MIN,266,16.6,1201,4.5,75.1,13
Reggie Cobb,TB,310,19.4,1171,3.8,73.2,9
Harold Green,CIN,265,16.6,1170,4.4,73.1,2
Ricky Watters,SF,206,14.7,1013,4.9,72.4,9
Rodney Hampton,NYG,257,16.1,1141,4.4,71.3,14
Cleveland Gary,RAM,279,17.4,1125,4.0,70.3,7
Herschel Walker,PHI,267,16.7,1070,4.0,66.9,8
Chris Warren,SEA,223,13.9,1017,4.6,63.6,3
Vince Workman,GB,159,15.9,631,4.0,63.1,2
Earnest Byner,WAS,262,16.4,998,3.8,62.4,6
Johnny Johnson,PHO,178,14.8,734,4.1,61.2,6
Mark Higgs,MIA,256,16.0,915,3.6,57.2,7
Rod Bernstine,SD,106,11.8,499,4.7,55.4,4
Marion Butts,SD,218,14.5,809,3.7,53.9,4
Barry Word,KC,163,13.6,607,3.7,50.6,4
Blair Thomas,NYJ,97,10.8,440,4.5,48.9,0
Brad Baxter,NYJ,152,10.1,698,4.6,46.5,6
Gaston Green,DEN,161,11.5,648,4.0,46.3,2
Eric Dickerson,RAI,187,11.7,729,3.9,45.6,2
Kevin Mack,CLE,169,14.1,543,3.2,45.2,6
Scott Lockwood,NE,35,8.8,162,4.6,40.5,0
Anthony Johnson,IND,178,11.9,592,3.3,39.5,0
Kenneth Davis,BUF,139,8.7,613,4.4,38.3,6
Heath Sherman,PHI,112,7.0,583,5.2,36.4,5
Neal Anderson,CHI,156,9.8,582,3.7,36.4,5
Darrell Thompson,GB,76,10.9,254,3.3,36.3,2
Leonard Russell,NE,123,11.2,390,3.2,35.5,2
Vaughn Dunbar,NO,154,9.6,565,3.7,35.3,3
Sammie Smith,DEN,23,7.7,94,4.1,31.3,0
Jarrod Bunch,NYG,104,6.5,501,4.8,31.3,3
Derrick Fenner,CIN,112,7.0,500,4.5,31.2,7
Ricky Ervins,WAS,151,9.4,495,3.3,30.9,2
Christian Okoye,KC,144,9.6,448,3.1,29.9,6
Bobby Humphrey,MIA,102,6.4,471,4.6,29.4,1
Jon Vaughn,NE,113,7.1,451,4.0,28.2,1
Dalton Hilliard,NO,115,7.2,445,3.9,27.8,3
Roger Craig,MIN,105,7.0,416,4.0,27.7,4
Ivory Lee Brown,PHO,68,9.7,194,2.9,27.7,2
Tommy Vardell,CLE,99,7.1,369,3.7,26.4,0
Craig Heyward,NO,104,6.5,416,4.0,26.0,3
Brad Muster,CHI,98,6.1,414,4.2,25.9,3
Steve Broussard,ATL,84,5.6,363,4.3,24.2,1
Darren Lewis,CHI,90,5.6,382,4.2,23.9,4
Tony Smith,ATL,87,6.2,329,3.8,23.5,2
Nick Bell,RAI,81,5.1,366,4.5,22.9,3
Amp Lee,SF,91,5.7,362,4.0,22.6,2
John L. Williams,SEA,114,7.1,339,3.0,21.2,1
Rodney Culver,IND,121,7.6,321,2.7,20.1,7
Curvin Richards,DAL,49,5.4,176,3.6,19.6,1
Johnny Bailey,PHO,52,4.3,233,4.5,19.4,1
Marcus Allen,RAI,67,4.2,301,4.5,18.8,2
Eric Metcalf,CLE,73,4.6,301,4.1,18.8,1
Harvey Williams,KC,78,5.6,262,3.4,18.7,1
Reggie Rivers,DEN,74,4.6,282,3.8,17.6,3
Eric Bieniemy,SD,74,4.9,264,3.6,17.6,3
Keith Jones,ATL,79,4.9,278,3.5,17.4,0
John Stephens,NE,75,4.7,277,3.7,17.3,2
Greg Lewis,DEN,73,4.6,268,3.7,16.8,4
Leroy Hoard,CLE,54,3.4,236,4.4,14.8,0
Ronnie Harmon,SD,55,3.4,235,4.3,14.7,3
Scottie Graham,NYJ,14,7.0,29,2.1,14.5,0
Freeman McNeil,NYJ,43,3.6,170,4.0,14.2,0
Johnny Hector,NYJ,24,4.8,67,2.8,13.4,0
Edgar Bennett,GB,61,3.8,214,3.5,13.4,0
Pat Chaffey,NYJ,27,1.9,186,6.9,13.3,1
Gary Anderson,TB,55,3.7,194,3.5,12.9,1
Tom Rathman,SF,57,3.8,194,3.4,12.9,5
David Lang,RAM,33,2.1,203,6.2,12.7,5
Keith Byars,PHI,41,2.7,176,4.3,11.7,1
Robert Delpino,RAM,32,3.2,115,3.6,11.5,0
Leroy Thompson,PIT,35,2.3,157,4.5,10.5,1
Dave Meggett,NYG,32,2.0,167,5.2,10.4,0
Carwell Gardner,BUF,40,2.5,166,4.2,10.4,2
Ken Clark,IND,40,3.1,134,3.4,10.3,0
Harry Sydney,GB,51,3.2,163,3.2,10.2,2
Merril Hoge,PIT,41,2.6,150,3.7,9.4,0
