Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Eric Dickerson,RAM,390,24.4,1808,4.6,113.0,18
William Andrews,ATL,331,20.7,1567,4.7,97.9,7
Earl Campbell,HOU,322,23.0,1301,4.0,92.9,12
Curt Warner,SEA,335,20.9,1449,4.3,90.6,13
John Riggins,WAS,375,25.0,1347,3.6,89.8,24
Walter Payton,CHI,314,19.6,1421,4.5,88.8,6
George Rogers,NO,256,19.7,1144,4.5,88.0,5
Ottis Anderson,STL,296,19.7,1270,4.3,84.7,5
Tony Dorsett,DAL,289,18.1,1321,4.6,82.6,8
Billy Sims,DET,220,16.9,1040,4.7,80.0,7
Mike Pruitt,CLE,293,19.5,1184,4.0,78.9,10
Freeman McNeil,NYJ,160,17.8,654,4.1,72.7,1
Joe Cribbs,BUF,263,16.4,1131,4.3,70.7,3
Curtis Dickey,BAL,254,15.9,1122,4.4,70.1,4
Pete Johnson,CIN,210,19.1,763,3.6,69.4,14
Tony Collins,NE,219,13.7,1049,4.8,65.6,10
James Wilder,TB,161,16.1,640,4.0,64.0,4
Marcus Allen,RAI,266,16.6,1014,3.8,63.4,9
Franco Harris,PIT,279,17.4,1007,3.6,62.9,5
Rob Carpenter,NYG,170,17.0,624,3.7,62.4,4
Wendell Tyler,SF,176,12.6,856,4.9,61.1,4
Chuck Muncie,SD,235,15.7,886,3.8,59.1,12
Wayne Wilson,NO,199,14.2,787,4.0,56.2,9
Sammy Winder,DEN,196,14.0,757,3.9,54.1,3
Butch Woolfolk,NYG,246,15.4,857,3.5,53.6,4
Joe Washington,WAS,145,9.7,772,5.3,51.5,0
Randy McMillan,BAL,198,12.4,802,4.1,50.1,5
Andra Franklin,MIA,224,14.9,746,3.3,49.7,8
Ted Brown,MIN,120,12.0,476,4.0,47.6,10
Gerry Ellis,GB,141,9.4,696,4.9,46.4,4
Roger Craig,SF,176,11.0,725,4.1,45.3,8
Tony Nathan,MIA,151,9.4,685,4.5,42.8,3
Darrin Nelson,MIN,154,10.3,642,4.2,42.8,1
Matt Suhey,CHI,149,9.3,681,4.6,42.6,4
Eddie Lee Ivery,GB,86,10.8,340,4.0,42.5,2
Bruce Harper,NYJ,51,5.7,354,6.9,39.3,1
Theotis Brown,KC,124,10.3,467,3.8,38.9,8
Boyce Green,CLE,104,8.0,497,4.8,38.2,3
Frank Pollard,PIT,135,8.4,608,4.5,38.0,4
Charles Alexander,CIN,153,10.9,523,3.4,37.4,3
Tony Galbreath,MIN,113,8.7,474,4.2,36.5,4
Mosi Tatupu,NE,106,6.6,578,5.5,36.1,4
James Brooks,SD,127,8.5,516,4.1,34.4,3
James Jones,DET,135,9.6,475,3.5,33.9,6
Ron Springs,DAL,149,9.3,541,3.6,33.8,7
Frank Hawkins,RAI,110,6.9,526,4.8,32.9,6
Gerald Riggs,ATL,100,7.1,437,4.4,31.2,8
Billy Jackson,KC,152,9.5,499,3.3,31.2,2
Walter Abercrombie,PIT,112,7.5,446,4.0,29.7,4
David Overstreet,MIA,85,6.1,392,4.6,28.0,1
Robert Weathers,NE,73,4.9,418,5.7,27.9,1
Wilbert Montgomery,PHI,29,5.8,139,4.8,27.8,0
Hubie Oliver,PHI,121,7.6,434,3.6,27.1,1
Stanley Wilson,CIN,56,5.6,267,4.8,26.7,1
Hokie Gajan,NO,81,5.1,415,5.1,25.9,4
Michael Williams,PHI,103,6.9,385,3.7,25.7,0
Stump Mitchell,STL,68,4.5,373,5.5,24.9,3
Barry Redden,RAM,75,5.0,372,5.0,24.8,2
Mark van Eeghen,NE,95,6.3,358,3.8,23.9,2
Gerald Willhite,DEN,43,5.4,188,4.4,23.5,3
James Owens,TB,96,8.0,266,2.8,22.2,5
Mel Carver,TB,114,7.1,348,3.1,21.8,0
Jessie Clark,GB,71,4.4,328,4.6,20.5,0
Larry Moriarty,HOU,65,4.1,321,4.9,20.1,3
Kenny King,RAI,82,5.5,294,3.6,19.6,1
David Hughes,SEA,83,5.2,313,3.8,19.6,1
Booker Moore,BUF,60,4.0,275,4.6,18.3,0
Wayne Morris,STL,75,5.0,257,3.4,17.1,2
Dexter Bussey,DET,57,3.8,249,4.4,16.6,0
Rick Parros,DEN,30,5.0,96,3.2,16.0,1
Bill Ring,SF,64,4.0,254,4.0,15.9,2
Dave Preston,DEN,57,4.1,222,3.9,15.9,1
Michael Haddix,PHI,91,6.5,220,2.4,15.7,2
Nathan Poole,DEN,81,5.1,246,3.0,15.4,4
Vince Thompson,DET,40,4.0,138,3.4,13.8,1
Alvin Moore,BAL,57,3.8,205,3.6,13.7,1
Roosevelt Leaks,BUF,58,4.8,157,2.7,13.1,1
Mike Meade,GB,55,3.4,201,3.7,12.6,1
Woody Bennett,MIA,49,3.1,197,4.0,12.3,2
Timmy Newsome,DAL,44,2.8,185,4.2,11.6,2
Jewerl Thomas,KC,44,4.4,115,2.6,11.5,0
Harlan Huckleby,GB,50,3.1,182,3.6,11.4,4
Donnie Craft,HOU,55,3.7,147,2.7,9.8,0
Larry Kinnebrew,CIN,39,2.4,156,4.0,9.8,3
Joe Morris,NYG,35,2.3,145,4.1,9.7,0
Greg Pruitt,RAI,26,1.6,154,5.9,9.6,2
Cullen Bryant,SEA,27,2.7,87,3.2,8.7,0
Johnny Hector,NYJ,16,1.6,85,5.3,8.5,0
Scott Dierking,NYJ,28,1.8,113,4.0,7.1,3
Sherman Smith,SD,24,1.8,91,3.8,7.0,0
Perry Harrington,PHI,23,1.5,98,4.3,6.5,1
Randy Love,STL,35,2.2,103,2.9,6.4,2
Rodney Tate,CIN,25,2.1,77,3.1,6.4,0
Mike Augustyniak,NYJ,18,2.2,50,2.8,6.2,2
Dwight Walker,CLE,19,1.2,100,5.3,6.2,0
Dan Doornink,SEA,40,2.5,99,2.5,6.2,2
Rickey Young,MIN,39,2.4,90,2.3,5.6,2
Marion Barber,NYJ,15,1.1,77,5.1,5.5,1
Otis Wonsley,WAS,25,1.6,88,3.5,5.5,0
Billy Campfield,NYG,2,0.5,21,10.5,5.2,0
John Cappelletti,SD,1,1.0,5,5.0,5.0,0
Jimmy Rogers,NO,26,1.6,80,3.1,5.0,0
Newton Williams,BAL,28,1.8,77,2.8,4.8,0
Greg Hawthorne,PIT,5,0.5,47,9.4,4.7,0
Carl Monroe,SF,10,2.0,23,2.3,4.6,0
Dennis Gentry,CHI,16,1.1,65,4.1,4.3,0
Lynn Cain,ATL,19,1.2,63,3.3,3.9,1
Ken Thomas,KC,15,1.1,55,3.7,3.9,0
Kenny Lewis,NYJ,5,0.7,25,5.0,3.6,0
Dwayne Crutchfield,HOU,3,1.5,7,2.3,3.5,0
Tim Wilson,NO,8,1.3,21,2.6,3.5,0
Earl Ferrell,STL,7,0.4,53,7.6,3.3,1
Nick Giaquinto,WAS,14,0.9,53,3.8,3.3,1
Earnest Jackson,SD,11,0.9,39,3.5,3.2,0
Jesse Myles,DEN,8,0.5,52,6.5,3.2,0
John Tuggle,NYG,17,1.1,49,2.9,3.1,1
Jarvis Redwine,MIN,10,0.6,48,4.8,3.0,0
Jeff Moore,SF,15,1.0,43,2.9,2.9,1
Stan Edwards,HOU,16,1.1,40,2.5,2.9,0
Adger Armstrong,TB,7,0.6,30,4.3,2.7,0
Johnny Davis,CLE,13,0.8,42,3.2,2.6,0
Mike Guman,RAM,7,0.4,42,6.0,2.6,0
Lawrence Ricks,KC,21,1.8,28,1.3,2.3,0
Robert Newhouse,DAL,9,0.6,34,3.8,2.1,0
Jim Hadnot,KC,4,0.8,10,2.5,2.0,0
Calvin Thomas,CHI,8,0.6,25,3.1,1.9,0
Robert Alexander,RAM,7,0.5,28,4.0,1.9,0
Michael Morton,TB,13,0.8,28,2.2,1.8,0
Cliff Austin,NO,4,0.4,16,4.0,1.5,0
Zachary Dixon,SEA,4,0.3,18,4.5,1.4,0
Rick Berns,RAI,6,0.4,22,3.7,1.4,0
Rick Kane,DET,4,0.3,19,4.8,1.4,0
Robb Riddick,BUF,4,0.2,18,4.5,1.1,0
Tim Harris,PIT,2,0.1,15,7.5,1.1,0
Willard Harrell,STL,4,0.3,13,3.3,0.9,0
Anthony Hutchison,CHI,6,0.4,13,2.2,0.8,1
Eddie Hill,MIA,2,0.1,12,6.0,0.8,0
Bo Robinson,ATL,3,0.2,9,3.0,0.8,0
Reggie Evans,WAS,16,1.1,11,0.7,0.7,4
Van Williams,BUF,3,0.2,11,3.7,0.7,0
Terdell Middleton,TB,2,0.3,4,2.0,0.6,0
Major Everett,PHI,5,0.3,7,1.4,0.4,0
Henry Odom,PIT,2,0.1,7,3.5,0.4,0
Horace King,DET,3,0.2,6,2.0,0.4,0
Richard Williams,ATL,1,0.1,5,5.0,0.4,0
Derrick Jensen,RAI,1,0.1,5,5.0,0.3,0
Leon Bright,NYG,1,0.1,2,2.0,0.3,0
Dino Hall,CLE,1,0.1,2,2.0,0.1,0
Eric Lane,SEA,3,0.2,1,0.3,0.1,0
Curtis Brown,HOU,3,1.5,0,0.0,0.0,1
Chester Willis,RAI,5,0.4,0,0.0,0.0,0
