Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Ricky Williams,MIA,383,23.9,1853,4.8,115.8,16
Priest Holmes,KC,313,22.4,1615,5.2,115.4,21
LaDainian Tomlinson,SD,372,23.2,1683,4.5,105.2,14
Clinton Portis,DEN,273,17.1,1508,5.5,94.2,15
Deuce McAllister,NO,325,21.7,1388,4.3,92.5,13
Travis Henry,BUF,325,20.3,1438,4.4,89.9,13
Ahman Green,GB,286,20.4,1240,4.3,88.6,7
Tiki Barber,NYG,304,19.0,1387,4.6,86.7,11
Jamal Lewis,BAL,308,19.2,1327,4.3,82.9,6
Fred Taylor,JAC,287,17.9,1314,4.6,82.1,8
Corey Dillon,CIN,314,19.6,1311,4.2,81.9,7
Michael Bennett,MIN,255,15.9,1296,5.1,81.0,5
Shaun Alexander,SEA,295,18.4,1175,4.0,73.4,16
James Stewart,DET,231,16.5,1021,4.4,72.9,4
Eddie George,TEN,343,21.4,1165,3.4,72.8,12
Edgerrin James,IND,277,19.8,989,3.6,70.6,2
Curtis Martin,NYJ,261,16.3,1094,4.2,68.4,7
Stephen Davis,WAS,207,17.2,820,4.0,68.3,7
Marshall Faulk,STL,212,15.1,953,4.5,68.1,8
Lamar Smith,CAR,209,19.0,737,3.5,67.0,7
Duce Staley,PHI,269,16.8,1029,3.8,64.3,5
Warrick Dunn,ATL,230,15.3,927,4.0,61.8,7
Antowain Smith,NE,252,15.8,982,3.9,61.4,6
Emmitt Smith,DAL,254,15.9,975,3.8,60.9,5
Garrison Hearst,SF,215,13.4,972,4.5,60.8,8
Charlie Garner,OAK,182,11.4,962,5.3,60.1,7
Anthony Thomas,CHI,214,17.8,721,3.4,60.1,6
Thomas Jones,ARI,138,15.3,511,3.7,56.8,2
Marcel Shipp,ARI,188,12.5,834,4.4,55.6,6
William Green,CLE,243,15.2,887,3.7,55.4,6
Jerome Bettis,PIT,187,14.4,666,3.6,51.2,9
Kevan Barlow,SF,145,10.4,675,4.7,48.2,4
Amos Zereoue,PIT,193,12.1,762,3.9,47.6,4
Michael Pittman,TB,204,12.8,718,3.5,44.9,1
T.J. Duckett,ATL,130,10.8,507,3.9,42.2,4
James Mungro,IND,97,10.8,336,3.5,37.3,8
Mike Alstott,TB,146,9.1,548,3.8,34.2,5
Jamel White,CLE,106,7.6,470,4.4,33.6,3
Kenny Watson,WAS,116,7.2,534,4.6,33.4,1
Jonathan Wells,HOU,197,12.3,529,2.7,33.1,3
James Allen,HOU,155,9.7,519,3.3,32.4,0
Robert Holcombe,TEN,47,5.9,242,5.1,30.2,0
Tyrone Wheatley,OAK,108,7.7,419,3.9,29.9,2
Ladell Betts,WAS,65,5.9,307,4.7,27.9,1
Stacey Mack,JAC,98,6.1,436,4.4,27.2,9
Ron Dayne,NYG,125,7.8,428,3.4,26.8,3
Moe Williams,MIN,84,5.2,414,4.9,25.9,11
Mike Anderson,DEN,84,5.6,386,4.6,25.7,2
Dee Brown,CAR,102,7.3,360,3.5,25.7,4
Dorsey Levens,PHI,75,4.7,411,5.5,25.7,1
Najeh Davenport,GB,39,4.9,184,4.7,23.0,1
LaMont Jordan,NYJ,84,6.0,316,3.8,22.6,3
Leon Johnson,CHI,103,6.4,329,3.2,20.6,1
Troy Hambrick,DAL,79,4.9,317,4.0,19.8,1
Tony Fisher,GB,70,4.7,283,4.0,18.9,2
Kevin Faulk,NE,52,3.5,271,5.2,18.1,2
Rondell Mealey,GB,11,5.5,36,3.3,18.0,1
Lamar Gordon,STL,65,5.0,228,3.5,17.5,1
Doug Chapman,MIN,12,2.0,89,7.4,14.8,0
Chris Fuamatu-Ma'afala,PIT,23,2.9,115,5.0,14.4,0
Maurice Morris,SEA,32,2.9,153,4.8,13.9,0
Nick Goings,CAR,50,3.6,188,3.8,13.4,0
Brandon Bennett,CIN,33,2.8,155,4.7,12.9,0
Brian Westbrook,PHI,46,3.1,193,4.2,12.9,0
Terrell Fletcher,SD,26,2.6,128,4.9,12.8,1
Rafael Cooper,DET,12,2.4,57,4.8,11.4,0
Olandis Gary,DEN,37,2.8,147,4.0,11.3,1
Travis Minor,MIA,44,2.8,180,4.1,11.2,2
Adrian Peterson,CHI,19,2.1,101,5.3,11.2,1
Aaron Stecker,TB,28,1.8,174,6.2,10.9,0
Aveion Cason,DET,26,2.6,107,4.1,10.7,0
Michael Wiley,DAL,22,1.4,168,7.6,10.5,1
Rudi Johnson,CIN,17,2.4,67,3.9,9.6,0
Robert Edwards,MIA,20,1.7,107,5.4,8.9,1
Cory Schlesinger,DET,49,3.1,139,2.8,8.7,2
Terry Kirby,OAK,16,2.7,51,3.2,8.5,0
Mike Cloud,KC,49,3.5,115,2.3,8.2,2
Paul Smith,SF,18,1.6,90,5.0,8.2,0
Chester Taylor,BAL,33,2.2,122,3.7,8.1,0
Brad Hoover,CAR,31,1.9,129,4.2,8.1,0
Bob Christian,ATL,31,2.1,119,3.8,7.9,3
Zack Crockett,OAK,40,2.5,118,2.9,7.4,8
Joe Montgomery,CAR,7,2.3,20,2.9,6.7,0
Damien Anderson,ARI,24,2.4,65,2.7,6.5,0
Derrick Blaylock,KC,16,1.3,72,4.5,6.0,0
Marc Edwards,NE,31,1.9,96,3.1,6.0,0
Mack Strong,SEA,23,1.4,94,4.1,5.9,0
Shawn Bryson,BUF,13,2.2,35,2.7,5.8,0
