Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Emmitt Smith,DAL,377,23.6,1773,4.7,110.8,25
Barry Sanders,DET,314,19.6,1500,4.8,93.8,11
Curtis Martin,NE,368,23.0,1487,4.0,92.9,14
Chris Warren,SEA,310,19.4,1346,4.3,84.1,15
Terry Allen,WAS,338,21.1,1309,3.9,81.8,10
Terrell Davis,DEN,237,16.9,1117,4.7,79.8,7
Ricky Watters,PHI,337,21.1,1273,3.8,79.6,11
Aaron Hayden,SD,128,21.3,470,3.7,78.3,3
Errict Rhett,TB,332,20.8,1207,3.6,75.4,11
Rodney Hampton,NYG,306,19.1,1182,3.9,73.9,10
Natrone Means,SD,186,18.6,730,3.9,73.0,5
Thurman Thomas,BUF,267,19.1,1005,3.8,71.8,6
Robert Smith,MIN,139,15.4,632,4.5,70.2,5
Harvey Williams,OAK,255,15.9,1114,4.4,69.6,9
Craig Heyward,ATL,236,14.8,1083,4.6,67.7,6
Marshall Faulk,IND,289,18.1,1078,3.7,67.4,11
Rashaan Salaam,CHI,296,18.5,1074,3.6,67.1,10
Garrison Hearst,ARI,284,17.8,1070,3.8,66.9,1
Edgar Bennett,GB,316,19.8,1067,3.4,66.7,3
Mario Bates,NO,244,15.2,951,3.9,59.4,7
Rodney Thomas,HOU,251,15.7,947,3.8,59.2,5
Derrick Moore,CAR,195,15.0,740,3.8,56.9,4
Marcus Allen,KC,207,12.9,890,4.3,55.6,5
Bernie Parmalee,MIA,236,14.8,878,3.7,54.9,9
Erric Pegram,PIT,213,14.2,813,3.8,54.2,5
Adrian Murrell,NYJ,192,12.8,795,4.1,53.0,1
Robert Green,CHI,107,8.9,570,5.3,47.5,3
Leroy Hoard,CLE,136,11.3,547,4.0,45.6,0
Derek Loville,SF,218,13.6,723,3.3,45.2,10
Harold Green,CIN,171,11.4,661,3.9,44.1,2
Darick Holmes,BUF,172,10.8,698,4.1,43.6,4
Bam Morris,PIT,148,11.4,559,3.8,43.0,9
Jerome Bettis,STL,183,12.2,637,3.5,42.5,3
Greg Hill,KC,155,9.7,667,4.3,41.7,1
Charlie Garner,PHI,108,7.2,588,5.4,39.2,6
James Stewart,JAC,137,9.8,525,3.8,37.5,2
James Stewart,MIN,31,7.8,144,4.6,36.0,0
Greg Robinson,STL,40,8.0,165,4.1,33.0,0
Napoleon Kaufman,OAK,108,6.8,490,4.5,30.6,1
William Floyd,SF,64,8.0,237,3.7,29.6,2
Gary Brown,HOU,86,8.6,293,3.4,29.3,0
Earnest Byner,CLE,115,7.2,432,3.8,27.0,2
Vince Workman,IND,9,9.0,26,2.9,26.0,0
Terry Kirby,MIA,108,6.8,414,3.8,25.9,4
Vaughn Dunbar,JAC,110,7.9,361,3.3,25.8,2
Scottie Graham,MIN,110,6.9,406,3.7,25.4,2
Rod Bernstine,DEN,23,7.7,76,3.3,25.3,1
Kimble Anders,KC,58,3.6,398,6.9,24.9,2
Eric Bieniemy,CIN,98,6.1,381,3.9,23.8,3
Amp Lee,MIN,69,4.3,371,5.4,23.2,2
Brent Moss,STL,22,5.5,90,4.1,22.5,0
Aaron Craver,DEN,73,4.6,333,4.6,20.8,5
Roosevelt Potts,IND,65,4.3,309,4.8,20.6,0
